Selector,level_1,WINNER,Range,AHP value
DD v/s CSK,CSK,15,2.5,5
DD v/s CSK,DD,6,0.4,0.2
KKR v/s CSK,CSK,13,1.8571428571428572,3
KKR v/s CSK,KKR,7,0.5384615384615384,0.3333333333333333
KKR v/s DD,KKR,13,1.3,1
KKR v/s DD,DD,10,0.7692307692307693,1.0
KXIP v/s CSK,CSK,12,1.3333333333333333,1
KXIP v/s CSK,KXIP,9,0.75,1.0
KXIP v/s DD,KXIP,14,1.5555555555555556,2
KXIP v/s DD,DD,9,0.6428571428571429,0.5
KXIP v/s KKR,KKR,17,2.125,4
KXIP v/s KKR,KXIP,8,0.47058823529411764,0.25
MI v/s CSK,MI,16,1.4545454545454546,2
MI v/s CSK,CSK,11,0.6875,0.5
MI v/s DD,MI,12,1.0,1
MI v/s DD,DD,12,1.0,1.0
MI v/s KKR,MI,19,3.1666666666666665,6
MI v/s KKR,KKR,6,0.3157894736842105,0.16666666666666666
MI v/s KXIP,MI,13,1.1818181818181819,1
MI v/s KXIP,KXIP,11,0.8461538461538461,1.0
RCB v/s CSK,CSK,15,2.142857142857143,4
RCB v/s CSK,RCB,7,0.4666666666666667,0.25
RCB v/s DD,RCB,14,1.75,3
RCB v/s DD,DD,8,0.5714285714285714,0.3333333333333333
RCB v/s KKR,KKR,14,1.4,2
RCB v/s KKR,RCB,10,0.7142857142857143,0.5
RCB v/s KXIP,RCB,12,1.0,1
RCB v/s KXIP,KXIP,12,1.0,1.0
RCB v/s MI,MI,16,1.7777777777777777,3
RCB v/s MI,RCB,9,0.5625,0.3333333333333333
RPS v/s CSK,CSK,4,2.0,3
RPS v/s CSK,RPS,2,0.5,0.3333333333333333
RPS v/s DD,DD,5,1.25,1
RPS v/s DD,RPS,4,0.8,1.0
RPS v/s KKR,KKR,7,3.5,7
RPS v/s KKR,RPS,2,0.2857142857142857,0.14285714285714285
RPS v/s KXIP,KXIP,5,1.0,1
RPS v/s KXIP,RPS,5,1.0,1.0
RPS v/s MI,MI,7,1.4,2
RPS v/s MI,RPS,5,0.7142857142857143,0.5
RPS v/s RCB,RCB,7,3.5,7
RPS v/s RCB,RPS,2,0.2857142857142857,0.14285714285714285
RR v/s CSK,CSK,14,2.0,3
RR v/s CSK,RR,7,0.5,0.3333333333333333
RR v/s DD,RR,11,1.375,2
RR v/s DD,DD,8,0.7272727272727273,0.5
RR v/s KKR,RR,10,1.0,1
RR v/s KKR,KKR,10,1.0,1.0
RR v/s KXIP,RR,10,1.1111111111111112,1
RR v/s KXIP,KXIP,9,0.9,1.0
RR v/s MI,MI,10,1.0,1
RR v/s MI,RR,10,1.0,1.0
RR v/s RCB,RR,10,1.4285714285714286,2
RR v/s RCB,RCB,7,0.7,0.5
RR v/s RPS,RR,4,4.0,8
RR v/s RPS,RPS,1,0.25,0.125
SRH v/s CSK,CSK,15,2.142857142857143,4
SRH v/s CSK,SRH,7,0.4666666666666667,0.25
SRH v/s DD,DD,13,1.0,1
SRH v/s DD,SRH,13,1.0,1.0
SRH v/s KKR,KKR,17,1.8888888888888888,3
SRH v/s KKR,SRH,9,0.5294117647058824,0.3333333333333333
SRH v/s KXIP,SRH,13,1.1818181818181819,1
SRH v/s KXIP,KXIP,11,0.8461538461538461,1.0
SRH v/s MI,MI,13,1.1818181818181819,1
SRH v/s MI,SRH,11,0.8461538461538461,1.0
SRH v/s RCB,SRH,14,1.2727272727272727,1
SRH v/s RCB,RCB,11,0.7857142857142857,1.0
SRH v/s RPS,SRH,6,1.5,2
SRH v/s RPS,RPS,4,0.6666666666666666,0.5
SRH v/s RR,RR,12,1.5,2
SRH v/s RR,SRH,8,0.6666666666666666,0.5
