,Overs,Economy,Wickets,Bowling Avg,Bowling SR,4W Haul,,,,,,,,,,,,,,,,
Overs,1,2,4,6,6,7,,,,,,,,,,,,,,,,
Economy,0.5,1,4,5,5,6,,,,,,,,,,,,,,,,
Wickets,0.25,0.25,1,4,4,6,,,,,,,,,,,,,,,,
Bowling Avg,0.166666,0.2,0.25,1,1,5,,,,,,,,,,,,,,,,
Bowling SR,0.166666,0.2,0.25,1,1,4,,,,,,,,,,,,,,,,
4W Haul,0.142857,0.166666,0.166666,0.2,0.25,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Divide by Sum,,,,,,,,,,,,,Sum all columns and divide by 6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Overs,Economy,Wickets,Bowling Avg,Bowling SR,4W Haul,,,,,,,Overs,Economy,Wickets,Bowling Avg,Bowling SR,4W Haul,Sum,Criteria Weight,,
Overs,0.449198159,0.524017559,0.413793132,0.348837209,0.347826087,0.24137931,,,,,,Overs,0.449198159,0.524017559,0.413793132,0.348837209,0.347826087,0.24137931,2.325051456,0.387508576,,
Economy,0.224599079,0.262008779,0.413793132,0.290697674,0.289855072,0.206896552,,,,,,Economy,0.224599079,0.262008779,0.413793132,0.290697674,0.289855072,0.206896552,1.687850289,0.281308382,,
Wickets,0.11229954,0.065502195,0.103448283,0.23255814,0.231884058,0.206896552,,,,,,Wickets,0.11229954,0.065502195,0.103448283,0.23255814,0.231884058,0.206896552,0.952588767,0.158764794,,
Bowling Avg,0.07486606,0.052401756,0.025862071,0.058139535,0.057971014,0.172413793,,,,,,Bowling Avg,0.07486606,0.052401756,0.025862071,0.058139535,0.057971014,0.172413793,0.441654229,0.073609038,,
Bowling SR,0.07486606,0.052401756,0.025862071,0.058139535,0.057971014,0.137931034,,,,,,Bowling SR,0.07486606,0.052401756,0.025862071,0.058139535,0.057971014,0.137931034,0.407171471,0.067861912,,
4W Haul,0.064171101,0.043667955,0.017241312,0.011627907,0.014492754,0.034482759,,,,,,4W Haul,0.064171101,0.043667955,0.017241312,0.011627907,0.014492754,0.034482759,0.185683787,0.030947298,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Checking Consistency: Basically to check whether criteria weights are correct or not,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Multiply Initial Table by Criteria weight,,,,,,,,,,,,Sum of all columns and copy criteria weight from above and take ratio,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
