TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_WINNER_MODEL,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,WIN_RATE_TEAM1,WIN_RATE_TEAM2,WINNER,WINNER_MODEL,AHP_RATIO_TEAM1,AHP_RATIO_TEAM2
KKR,1,RCB,0,RCB,0,257.5554819550956,257.5554819550956,253.10065769527623,253.10065769527623,0.0,0.0,KKR,1,12.745465,9.982425
CSK,1,KXIP,0,CSK,1,396.9939314570672,396.9939314570672,197.1787026588864,197.1787026588864,0.0,0.0,CSK,1,16.900712,9.380131
DD,1,RR,0,RR,0,221.7675082695424,221.7675082695424,287.231016019066,287.231016019066,0.0,0.0,DD,1,8.076035,12.695051
RCB,1,MI,0,MI,0,253.10065769527623,253.10065769527623,459.5550660238756,459.5550660238756,0.0,0.0,RCB,1,9.982425,15.160852
KKR,1,SRH,0,SRH,0,257.5554819550956,257.5554819550956,251.8548469,251.8548469,1.147092,0.0,KKR,1,12.745465,9.026536
RR,1,KXIP,0,KXIP,0,287.231016019066,287.231016019066,197.1787026588864,197.1787026588864,0.0,0.0,RR,1,12.695051,9.380131
DD,1,SRH,0,SRH,0,221.7675082695424,221.7675082695424,183.05893248533673,183.05893248533673,0.726843,0.0,DD,1,8.076035,9.026536
CSK,1,MI,0,MI,0,396.9939314570672,396.9939314570672,459.5550660238756,459.5550660238756,1.521064,0.0,CSK,1,16.900712,15.160852
RR,1,SRH,0,RR,1,287.231016019066,287.231016019066,251.8548469,251.8548469,0.5712775,0.0,RR,1,12.695051,9.026536
KXIP,1,MI,0,MI,0,197.1787026588864,197.1787026588864,459.5550660238756,459.5550660238756,0.0,0.0,KXIP,1,9.380131,15.160852
RR,1,RCB,0,RR,1,287.231016019066,287.231016019066,253.10065769527623,253.10065769527623,0.7617033333333333,0.449209,RR,1,12.695051,9.982425
