TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_WINNER_MODEL,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,WIN_RATE_TEAM1,WIN_RATE_TEAM2,WINNER,WINNER_MODEL,AHP_RATIO_TEAM1,AHP_RATIO_TEAM2
KKR,1,RCB,0,RCB,0,224.5290543,224.5290543,281.7181509,281.7181509,0.0,0.0,KKR,1,12.745465,9.982425
CSK,1,KXIP,0,CSK,1,260.9975198,260.9975198,233.5653872,233.5653872,0.0,0.0,CSK,1,16.900712,9.380131
DD,1,RR,0,RR,0,305.1106061000001,305.1106061000001,251.3936012,251.3936012,0.0,0.0,DD,1,8.076035,12.695051
RCB,1,MI,0,MI,0,281.7181509,281.7181509,336.7994228,336.7994228,0.0,0.0,RCB,1,9.982425,15.160852
KKR,1,SRH,0,SRH,0,224.5290543,224.5290543,251.8548469,251.8548469,1.0,0.0,KKR,1,12.745465,9.026536
RR,1,KXIP,0,KXIP,0,251.3936012,251.3936012,233.5653872,233.5653872,0.0,0.0,RR,1,12.695051,9.380131
DD,1,SRH,0,SRH,0,305.1106061000001,305.1106061000001,251.8548469,251.8548469,1.0,0.0,DD,1,8.076035,9.026536
CSK,1,MI,0,MI,0,260.9975198,260.9975198,336.7994228,336.7994228,1.0,0.0,CSK,1,16.900712,15.160852
RR,1,SRH,0,RR,1,251.3936012,251.3936012,251.8548469,251.8548469,0.5,0.0,RR,1,12.695051,9.026536
KXIP,1,MI,0,MI,0,233.5653872,233.5653872,336.7994228,336.7994228,0.0,0.0,KXIP,1,9.380131,15.160852
RR,1,RCB,0,RR,1,251.3936012,251.3936012,281.7181509,281.7181509,0.6666666666666666,0.5,RR,1,12.695051,9.982425
CSK,1,KKR,0,KKR,0,260.9975198,260.9975198,224.5290543,224.5290543,1.0,1.0,CSK,1,16.900712,12.745465
MI,1,SRH,0,SRH,0,336.7994228,336.7994228,251.8548469,251.8548469,0.0,0.0,SRH,0,15.160852,9.026536
DD,1,KXIP,0,DD,1,305.1106061000001,305.1106061000001,233.5653872,233.5653872,1.0,0.3333333333333333,KXIP,0,8.076035,9.380131
CSK,1,RCB,0,CSK,1,260.9975198,260.9975198,281.7181509,281.7181509,1.0,0.3333333333333333,CSK,1,16.900712,9.982425
KKR,1,MI,0,KKR,1,224.5290543,224.5290543,336.7994228,336.7994228,0.6666666666666666,0.0,MI,0,12.745465,15.160852
DD,1,RCB,0,RCB,0,305.1106061000001,305.1106061000001,281.7181509,281.7181509,0.6666666666666666,0.25,DD,1,8.076035,9.982425
SRH,1,KXIP,0,KXIP,0,251.8548469,251.8548469,233.5653872,233.5653872,0.25,0.5,KXIP,0,9.026536,9.380131
RR,1,KKR,0,RR,1,251.3936012,251.3936012,224.5290543,224.5290543,0.75,0.5,RR,1,12.695051,12.745465
CSK,1,DD,0,CSK,1,260.9975198,260.9975198,305.1106061000001,305.1106061000001,1.0,0.75,DD,0,16.900712,8.076035
SRH,1,RCB,0,SRH,1,251.8548469,251.8548469,281.7181509,281.7181509,0.2,0.2,RCB,0,9.026536,9.982425
KXIP,1,KKR,0,KXIP,1,233.5653872,233.5653872,224.5290543,224.5290543,0.6,0.4,KXIP,1,9.380131,12.745465
MI,1,DD,0,DD,0,336.7994228,336.7994228,305.1106061000001,305.1106061000001,0.2,0.8,MI,1,15.160852,8.076035
CSK,1,RR,0,CSK,1,260.9975198,260.9975198,251.3936012,251.3936012,0.8,0.8,RR,0,16.900712,12.695051
RCB,1,KXIP,0,KXIP,0,281.7181509,281.7181509,233.5653872,233.5653872,0.3333333333333333,0.6666666666666666,KXIP,0,9.982425,9.380131
CSK,1,SRH,0,SRH,0,260.9975198,260.9975198,251.8548469,251.8548469,0.6666666666666666,0.16666666666666666,SRH,0,16.900712,9.026536
RR,1,MI,0,MI,0,251.3936012,251.3936012,336.7994228,336.7994228,0.8333333333333334,0.3333333333333333,MI,0,12.695051,15.160852
DD,1,CSK,0,CSK,0,305.1106061000001,305.1106061000001,260.9975198,260.9975198,0.6666666666666666,0.5714285714285714,CSK,0,8.076035,16.900712
KKR,1,RCB,0,KKR,1,224.5290543,224.5290543,281.7181509,281.7181509,0.3333333333333333,0.2857142857142857,KKR,1,12.745465,9.982425
