,Unnamed: 0,Unnamed: 0.1,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TEAM2_MODEL,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
0,0,0,60,2008,Bangalore,RCB,KKR,1,RCB,-0.22904790234031355,-0.1734197629302827,-1.1631400873377369,-1.3768691709812155,0,RCB,field,normal,KKR,140,0,1,0,0,0.0,0.0
1,1,1,61,2008,Chandigarh,KXIP,CSK,1,KXIP,-0.12560511775917163,-0.041878025289597866,-1.398555654411913,-1.6900627902150824,0,CSK,bat,normal,CSK,33,1,1,1,0,0.0,0.0
2,2,2,62,2008,Delhi,DD,DD,1,RR,-0.8476686827102973,-0.9600812272364073,-0.6230015482540655,-0.6582763181559557,0,RR,bat,normal,DD,0,0,1,1,1,0.0,0.0
3,3,3,63,2008,Mumbai,MI,RCB,1,MI,-1.288696806832365,-1.52090918667636,0.16640171116230582,0.3919348761348784,0,MI,bat,normal,RCB,0,0,1,1,0,0.0,0.0
4,4,4,64,2008,Kolkata,KKR,KKR,1,SRH,-0.22904790234031355,-0.1734197629302827,-0.9845216388877843,-1.1392376539696325,0,SRH,bat,normal,KKR,0,0,1,1,1,1.0,0.0
5,5,5,65,2008,Jaipur,RR,RR,1,KXIP,-0.7040708501699536,-0.7774768194927623,-1.398555654411913,-1.6900627902150824,0,KXIP,bat,normal,RR,0,0,1,1,1,0.0,0.0
6,6,6,66,2008,Hyderabad,SRH,DD,1,SRH,-0.8476686827102973,-0.9600812272364073,-0.9845216388877843,-1.1392376539696325,0,SRH,bat,normal,DD,0,0,1,1,0,1.0,0.0
7,7,7,67,2008,Chennai,CSK,CSK,1,MI,-0.12560511775917163,-0.041878025289597866,0.16640171116230582,0.3919348761348784,0,MI,field,normal,CSK,6,0,1,0,1,1.0,0.0
8,8,8,68,2008,Hyderabad,SRH,RR,1,SRH,-0.7040708501699536,-0.7774768194927623,-0.9845216388877843,-1.1392376539696325,0,RR,field,normal,RR,0,1,1,0,0,0.5,0.0
9,9,9,69,2008,Chandigarh,KXIP,KXIP,1,MI,-1.5435019006282076,-1.8449289327932215,0.16640171116230582,0.3919348761348784,0,MI,field,normal,KXIP,66,0,1,0,1,0.0,0.0
10,10,10,70,2008,Bangalore,RCB,RR,1,RCB,-0.7040708501699536,-0.7774768194927623,-1.1631400873377369,-1.3768691709812155,0,RR,field,normal,RR,0,1,1,0,0,0.6666666666666666,0.5
11,11,11,71,2008,Chennai,CSK,CSK,1,KKR,-0.12560511775917163,-0.041878025289597866,-0.18412571978981485,-0.07440197705228996,0,KKR,bat,normal,CSK,0,0,1,1,1,1.0,1.0
12,12,12,72,2008,Mumbai,MI,MI,1,SRH,0.15035001102549445,0.30903690123889316,-0.9845216388877843,-1.1392376539696325,0,SRH,field,normal,SRH,0,0,0,0,1,0.0,0.0
13,13,13,73,2008,Chandigarh,KXIP,DD,1,KXIP,-0.8476686827102973,-0.9600812272364073,-1.398555654411913,-1.6900627902150824,0,DD,bat,normal,KXIP,0,1,0,1,0,1.0,0.3333333333333333
14,14,14,74,2008,Bangalore,RCB,CSK,1,RCB,-0.12560511775917163,-0.041878025289597866,-1.1631400873377369,-1.3768691709812155,0,CSK,bat,normal,CSK,13,1,1,1,0,1.0,0.3333333333333333
15,15,15,75,2008,Kolkata,KKR,KKR,1,MI,-0.22904790234031355,-0.1734197629302827,0.16640171116230582,0.3919348761348784,0,KKR,bat,normal,MI,0,1,0,1,1,0.6666666666666666,0.0
16,16,16,76,2008,Delhi,DD,DD,1,RCB,-0.8476686827102973,-0.9600812272364073,-1.1631400873377369,-1.3768691709812155,0,RCB,field,normal,DD,10,0,1,0,1,0.6666666666666666,0.25
17,17,17,77,2008,Hyderabad,SRH,SRH,1,KXIP,-1.0953668113838586,-1.275063489053885,-1.398555654411913,-1.6900627902150824,0,KXIP,field,normal,KXIP,0,0,0,0,1,0.25,0.5
18,18,18,78,2008,Jaipur,RR,RR,1,KKR,-0.7040708501699536,-0.7774768194927623,-0.18412571978981485,-0.07440197705228996,0,RR,bat,normal,RR,45,1,1,1,1,0.75,0.5
19,19,19,79,2008,Chennai,CSK,CSK,1,DD,-0.12560511775917163,-0.041878025289597866,-0.7556722287122564,-0.8347795591919588,0,CSK,bat,normal,DD,0,1,0,1,1,1.0,0.75
20,20,20,80,2008,Hyderabad,SRH,SRH,1,RCB,-1.0953668113838586,-1.275063489053885,-1.1631400873377369,-1.3768691709812155,0,SRH,bat,normal,RCB,0,1,0,1,1,0.2,0.2
21,21,21,81,2008,Chandigarh,KXIP,KXIP,1,KKR,-1.5435019006282076,-1.8449289327932215,-0.18412571978981485,-0.07440197705228996,0,KXIP,bat,normal,KXIP,9,1,1,1,1,0.6,0.4
22,22,22,82,2008,Mumbai,MI,MI,1,DD,0.15035001102549445,0.30903690123889316,-0.7556722287122564,-0.8347795591919588,0,DD,field,normal,MI,29,0,1,0,1,0.2,0.8
23,23,23,83,2008,Jaipur,RR,CSK,1,RR,-0.12560511775917163,-0.041878025289597866,-0.6230015482540655,-0.6582763181559557,0,CSK,bat,normal,RR,0,1,0,1,0,0.8,0.8
24,24,24,84,2008,Bangalore,RCB,RCB,1,KXIP,-1.288696806832365,-1.52090918667636,-1.398555654411913,-1.6900627902150824,0,KXIP,field,normal,KXIP,0,0,0,0,1,0.3333333333333333,0.6666666666666666
25,25,25,85,2008,Chennai,CSK,CSK,1,SRH,-0.12560511775917163,-0.041878025289597866,-0.9845216388877843,-1.1392376539696325,0,SRH,field,normal,SRH,0,0,0,0,1,0.6666666666666666,0.16666666666666666
26,26,26,86,2008,Mumbai,MI,RR,1,MI,-0.7040708501699536,-0.7774768194927623,0.16640171116230582,0.3919348761348784,0,MI,field,normal,MI,0,0,0,0,0,0.8333333333333334,0.3333333333333333
27,27,27,87,2008,Delhi,DD,DD,1,CSK,-0.8476686827102973,-0.9600812272364073,-0.08855446793951649,0.0527446965246324,0,CSK,field,normal,CSK,0,0,0,0,1,0.6666666666666666,0.5714285714285714
28,28,28,88,2008,Kolkata,KKR,KKR,1,RCB,-0.22904790234031355,-0.1734197629302827,-1.1631400873377369,-1.3768691709812155,0,KKR,bat,normal,KKR,5,1,1,1,1,0.3333333333333333,0.2857142857142857
29,29,29,89,2008,Jaipur,RR,SRH,1,RR,-1.0953668113838586,-1.275063489053885,-0.6230015482540655,-0.6582763181559557,0,RR,field,normal,RR,0,0,0,0,0,0.2857142857142857,0.7142857142857143
30,30,30,90,2008,Bangalore,RCB,RCB,1,MI,-1.288696806832365,-1.52090918667636,0.16640171116230582,0.3919348761348784,0,MI,field,normal,MI,0,0,0,0,1,0.25,0.42857142857142855
31,31,31,91,2008,Chennai,CSK,CSK,1,KXIP,-0.12560511775917163,-0.041878025289597866,-1.398555654411913,-1.6900627902150824,0,KXIP,field,normal,CSK,18,0,1,0,1,0.625,0.7142857142857143
32,32,32,92,2008,Hyderabad,SRH,KKR,1,SRH,-0.22904790234031355,-0.1734197629302827,-0.9845216388877843,-1.1392376539696325,0,KKR,bat,normal,KKR,23,1,1,1,0,0.42857142857142855,0.25
33,33,33,93,2008,Jaipur,RR,DD,1,RR,-0.8476686827102973,-0.9600812272364073,-0.6230015482540655,-0.6582763181559557,0,RR,field,normal,RR,0,0,0,0,0,0.5714285714285714,0.75
34,34,34,94,2008,Chandigarh,KXIP,RCB,1,KXIP,-1.288696806832365,-1.52090918667636,-1.398555654411913,-1.6900627902150824,0,RCB,bat,normal,KXIP,0,1,0,1,0,0.2222222222222222,0.625
35,35,35,95,2008,Kolkata,KKR,KKR,1,DD,-0.22904790234031355,-0.1734197629302827,-0.7556722287122564,-0.8347795591919588,0,KKR,bat,normal,KKR,23,1,1,1,1,0.5,0.5
36,36,36,96,2008,Mumbai,MI,CSK,1,MI,-0.12560511775917163,-0.041878025289597866,0.16640171116230582,0.3919348761348784,0,MI,field,normal,MI,0,0,0,0,0,0.6666666666666666,0.5
37,37,37,97,2008,Chandigarh,KXIP,KXIP,1,RR,-1.5435019006282076,-1.8449289327932215,-0.6230015482540655,-0.6582763181559557,0,RR,field,normal,KXIP,41,0,1,0,1,0.6666666666666666,0.7777777777777778
38,38,38,98,2008,Delhi,DD,DD,1,SRH,-0.8476686827102973,-0.9600812272364073,-0.9845216388877843,-1.1392376539696325,0,SRH,field,normal,DD,12,0,1,0,1,0.4444444444444444,0.2222222222222222
39,39,39,99,2008,Mumbai,MI,KKR,1,MI,-0.22904790234031355,-0.1734197629302827,0.16640171116230582,0.3919348761348784,0,MI,field,normal,MI,0,0,0,0,0,0.5555555555555556,0.5555555555555556
40,40,40,100,2008,Delhi,DD,DD,1,KXIP,-0.8476686827102973,-0.9600812272364073,-1.398555654411913,-1.6900627902150824,0,DD,bat,normal,KXIP,6,1,0,1,1,0.5,0.7
41,41,41,101,2008,Jaipur,RR,RR,1,RCB,-0.7040708501699536,-0.7774768194927623,-1.1631400873377369,-1.3768691709812155,0,RCB,field,normal,RR,65,0,1,0,1,0.7,0.2
42,42,42,102,2008,Hyderabad,SRH,MI,1,SRH,0.15035001102549445,0.30903690123889316,-0.9845216388877843,-1.1392376539696325,0,SRH,field,normal,MI,25,0,1,0,0,0.6,0.2
43,43,43,103,2008,Kolkata,KKR,KKR,1,CSK,-0.22904790234031355,-0.1734197629302827,-0.08855446793951649,0.0527446965246324,0,KKR,bat,normal,CSK,3,1,0,1,1,0.5,0.6
44,44,44,104,2008,Bangalore,RCB,RCB,1,DD,-1.288696806832365,-1.52090918667636,-0.7556722287122564,-0.8347795591919588,0,DD,field,normal,DD,0,0,0,0,1,0.18181818181818185,0.4545454545454545
45,45,45,105,2008,Kolkata,KKR,KKR,1,RR,-0.22904790234031355,-0.1734197629302827,-0.6230015482540655,-0.6582763181559557,0,RR,field,normal,RR,0,0,0,0,1,0.4545454545454545,0.7272727272727273
46,46,46,106,2008,Mumbai,MI,KXIP,1,MI,-1.5435019006282076,-1.8449289327932215,0.16640171116230582,0.3919348761348784,0,MI,field,normal,KXIP,1,0,1,0,0,0.7272727272727273,0.6363636363636364
47,47,47,107,2008,Chennai,CSK,RCB,1,CSK,-1.288696806832365,-1.52090918667636,-0.08855446793951649,0.0527446965246324,0,RCB,bat,normal,RCB,14,1,1,1,0,0.16666666666666666,0.6363636363636364
48,48,48,108,2008,Chandigarh,KXIP,SRH,1,KXIP,-1.0953668113838586,-1.275063489053885,-1.398555654411913,-1.6900627902150824,0,KXIP,field,normal,KXIP,0,0,0,0,0,0.18181818181818185,0.75
49,49,49,109,2008,Delhi,DD,MI,1,DD,0.15035001102549445,0.30903690123889316,-0.7556722287122564,-0.8347795591919588,0,DD,field,normal,DD,0,0,0,0,0,0.5833333333333334,0.5
50,50,50,110,2008,Chennai,CSK,RR,1,CSK,-0.7040708501699536,-0.7774768194927623,-0.08855446793951649,0.0527446965246324,0,RR,bat,normal,RR,10,1,1,1,0,0.75,0.5833333333333334
51,51,51,111,2008,Bangalore,RCB,RCB,1,SRH,-1.288696806832365,-1.52090918667636,-0.9845216388877843,-1.1392376539696325,0,SRH,field,normal,RCB,3,0,1,0,1,0.2307692307692308,0.16666666666666666
52,52,52,112,2008,Kolkata,KKR,KXIP,1,KKR,-1.5435019006282076,-1.8449289327932215,-0.18412571978981485,-0.07440197705228996,0,KXIP,bat,normal,KKR,0,1,0,1,0,0.7692307692307693,0.4166666666666667
53,53,53,113,2008,Jaipur,RR,MI,1,RR,0.15035001102549445,0.30903690123889316,-0.6230015482540655,-0.6582763181559557,0,RR,field,normal,RR,0,0,0,0,0,0.5384615384615384,0.7692307692307693
54,54,54,114,2008,Hyderabad,SRH,SRH,1,CSK,-1.0953668113838586,-1.275063489053885,-0.08855446793951649,0.0527446965246324,0,SRH,bat,normal,CSK,0,1,0,1,1,0.15384615384615385,0.5384615384615384
55,55,55,115,2008,Mumbai,MI,RR,1,DD,-0.7040708501699536,-0.7774768194927623,-0.7556722287122564,-0.8347795591919588,0,DD,field,normal,RR,105,0,1,0,2,0.7857142857142857,0.5384615384615384
56,56,56,116,2008,Mumbai,MI,KXIP,1,CSK,-1.5435019006282076,-1.8449289327932215,-0.08855446793951649,0.0527446965246324,0,KXIP,bat,normal,CSK,0,1,0,1,2,0.7142857142857143,0.5714285714285714
57,57,57,117,2008,Mumbai,MI,CSK,1,RR,-0.12560511775917163,-0.041878025289597866,-0.6230015482540655,-0.6582763181559557,0,RR,field,normal,RR,0,0,0,0,2,0.6,0.8
58,58,58,118,2009,Cape Town,Cape Town,MI,1,CSK,0.9744666654686949,1.3570146522540096,1.7884511905275604,2.5498871022030256,0,CSK,field,normal,MI,19,0,1,0,2,0.5,0.5625
59,59,59,119,2009,Cape Town,Cape Town,RCB,1,RR,-1.2200365741192296,-1.4335982509308605,0.8962672293280006,1.3629378817105051,0,RCB,bat,normal,RCB,75,1,1,1,2,0.2857142857142857,0.8125
