learning_rate,n_estimators,Ambiguity,Real Test Accuracy,Train Accuracy
0.05,200,6.877818182,56.96981818,64.95381818
0.05,800,7.333272727,55.87272727,67.81527273
0.05,1000,6.155090909,56.40763636,68.39872727
0.1,200,7.600545455,55.81763636,66.17763636
0.1,800,4.924909091,56.24690909,69.80309091
0.1,1000,4.658,55.73872727,70.376
0.15,200,7.895818182,55.95127273,67.31018182
0.15,800,4.977818182,55.52545455,71.02763636
0.15,1000,4.335090909,55.68636364,71.72109091
0.5,200,7.494,54.37472727,70.98054545
0.5,800,3.586,54.24054545,76.25345455
0.5,1000,3.263636364,54.18690909,77.40272727
0.05,100,5.460727273,57.63945455,63.88454545
0.05,50,3.159636364,58.068,62.77527273
0.05,20,2.597454545,57.638,61.92109091
0.05,10,6.563090909,55.12109091,61.45890909
0.02,100,2.194909091,58.52381818,62.47909091
0.02,50,2.196545455,57.74545455,61.88490909
0.02,20,6.084909091,54.79763636,61.30890909
0.02,10,13.85054545,49.55109091,60.25672727
0.01,100,1.421090909,58.22672727,61.93418182
0.01,50,3.889454545,56.538,61.53127273
0.01,20,12.96581818,49.95309091,60.25818182
0.01,10,24.34945455,43.22745455,58.83872727
0.005,100,3.755636364,56.59145455,61.52709091
0.005,50,9.355090909,52.11909091,60.69309091
0.005,20,23.18818182,43.68872727,58.91363636
0.005,10,35.25890909,36.94454545,57.79872727
0.01,150,1.097818182,58.65763636,62.19090909
0.01,200,1.954,58.68418182,62.48018182
0.005,150,2.196545455,57.66545455,61.73981818
0.005,200,1.287454545,58.28018182,61.92127273
0.01,200,1.938,59.1025,62.514
0.01,150,0.4025,60.035,62.127
