Year,Team,,Player,Strength For Model,Team
2008,CSK,2,ML Hayden,50.854166666666664,CSK
2008,CSK,6,SK Raina,41.76156747055547,CSK
2008,CSK,0,MEK Hussey,39.3578598105909,CSK
2008,CSK,7,JA Morkel,37.23852767602768,CSK
2008,CSK,4,MS Dhoni,34.63091494920055,CSK
2008,CSK,11,PA Patel,29.622603785103788,CSK
2008,CSK,8,L Balaji,29.24683847898134,CSK
2008,CSK,14,P Amarnath,27.833333333333332,CSK
2008,CSK,3,M Muralitharan,25.09871794871795,CSK
2008,CSK,13,SP Fleming,24.3,CSK
2008,CSK,1,M Ntini,24.0,CSK
2008,DD,191,MF Maharoof,43.21587301587302,DD
2008,DD,193,AB de Villiers,39.2038754070004,DD
2008,DD,184,S Dhawan,37.215695028011204,DD
2008,DD,186,V Sehwag,35.26755964623612,DD
2008,DD,182,G Gambhir,33.53892253023269,DD
2008,DD,189,A Mishra,31.19350331041507,DD
2008,DD,190,KD Karthik,30.41243403569254,DD
2008,DD,183,TM Dilshan,29.526190476190475,DD
2008,DD,187,DL Vettori,27.359462759462758,DD
2008,DD,194,VY Mahesh,25.21818181818182,DD
2008,DD,185,GD McGrath,24.5,DD
2008,KKR,483,Umar Gul,61.0,KKR
2008,KKR,480,Shoaib Akhtar,43.0,KKR
2008,KKR,477,Salman Butt,35.857142857142854,KKR
2008,KKR,470,BB McCullum,34.82855856264947,KKR
2008,KKR,489,BJ Hodge,33.09773909563826,KKR
2008,KKR,473,SC Ganguly,31.787142857142857,KKR
2008,KKR,475,DJ Hussey,29.466987179487177,KKR
2008,KKR,471,BAW Mendis,22.145833333333332,KKR
2008,KKR,472,WP Saha,21.384438723041665,KKR
2008,KKR,484,AB Agarkar,19.99308561808562,KKR
2008,KKR,474,AB Dinda,19.22692307692308,KKR
2008,KXIP,728,SE Marsh,45.27977115477116,KXIP
2008,KXIP,737,JR Hopes,42.63181818181818,KXIP
2008,KXIP,726,SM Katich,40.47222222222222,KXIP
2008,KXIP,730,KC Sangakkara,34.24596052096052,KXIP
2008,KXIP,736,Yuvraj Singh,32.66902264402264,KXIP
2008,KXIP,734,DPMD Jayawardene,30.549893162393165,KXIP
2008,KXIP,731,PP Chawla,30.19484508547009,KXIP
2008,KXIP,725,IK Pathan,27.92323373793962,KXIP
2008,KXIP,727,B Lee,25.969444444444445,KXIP
2008,KXIP,724,LA Pomersbach,23.691666666666666,KXIP
2008,KXIP,739,RR Sarwan,22.25,KXIP
2008,MI,979,CRD Fernando,46.1,MI
2008,MI,975,DJ Bravo,40.6436667903351,MI
2008,MI,973,DR Smith,40.230260480260476,MI
2008,MI,968,ST Jayasuriya,39.007936507936506,MI
2008,MI,974,SR Tendulkar,37.79711538461538,MI
2008,MI,971,SM Pollock,36.15384615384615,MI
2008,MI,970,RV Uthappa,36.02988782051282,MI
2008,MI,980,Harbhajan Singh,33.893274956897244,MI
2008,MI,976,A Nehra,33.65934574684575,MI
2008,MI,990,AM Rahane,31.891172716172715,MI
2008,MI,978,DS Kulkarni,29.345905483405485,MI
2008,RCB,1218,JH Kallis,46.89563279857397,RCB
2008,RCB,1217,V Kohli,40.937889194139196,RCB
2008,RCB,1221,Z Khan,31.604123376623374,RCB
2008,RCB,1224,AA Noffke,31.0,RCB
2008,RCB,1213,R Vinay Kumar,30.94126441740078,RCB
2008,RCB,1212,R Dravid,30.58499949124949,RCB
2008,RCB,1215,A Kumble,29.741666666666664,RCB
2008,RCB,1209,DW Steyn,27.057983193277312,RCB
2008,RCB,1222,CL White,25.247069597069597,RCB
2008,RCB,1208,LRPL Taylor,25.132096474953613,RCB
2008,RCB,1219,P Kumar,23.52782051282051,RCB
