Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns2,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
MS Dhoni,16,15,10,371,57,74.2,250,148.4,0,1,0,22,20,0,0,0,0,0,0,0,0,0,0,0,3,1
S Badree,4,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,97,2,43849,48.5,6.92,42,0,0,0,0
DJ Hussey,5,4,2,116,50,58,94,123.4,0,1,0,8,6,1,2.5,0,38,2,13912,19,13.41,8.5,0,0,1,0
R Ashwin,16,6,3,45,14,15,45,100,0,0,0,4,0,16,59.5,1,437,16,43920,27.31,7.3,22.4,0,0,1,0
SK Raina,16,16,3,523,87,40.23,359,145.68,0,5,0,51,19,8,18,0,134,1,43847,134,7.44,108,0,0,12,0
DR Smith,16,16,0,566,79,35.37,416,136.05,0,5,0,50,34,5,10,0,95,4,43841,23.75,9.5,15,0,0,5,0
IC Pandey,13,0,0,0,0,0,0,0,0,0,0,0,0,12,42,2,318,6,43884,53,7.57,42,0,0,4,0
BB McCullum,14,14,1,405,71,31.15,333,121.62,0,3,0,32,19,0,0,0,0,0,0,0,0,0,0,0,6,0
RA Jadeja,16,10,5,146,36,29.2,110,132.72,0,0,0,9,5,16,54.2,0,443,19,43933,23.31,8.15,17.1,2,0,4,0
MM Sharma,16,1,1,1,1,0,3,33.33,0,0,0,0,0,16,53.5,0,452,23,43935,19.65,8.39,14,1,0,3,0
F du Plessis,15,12,1,303,54,27.54,235,128.93,0,2,2,26,7,0,0,0,0,0,0,0,0,0,0,0,13,0
BW Hilfenhaus,8,1,1,0,0,0,0,0,0,0,0,0,0,8,28,0,246,8,11720,30.75,8.78,21,0,0,1,0
M Manhas,12,5,3,35,13,17.5,23,152.17,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0
A Nehra,4,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,142,8,12114,17.75,9.46,11.2,0,0,0,0
DJ Bravo,1,1,1,8,8,0,3,266.66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JW Hastings,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,29,1,43859,29,9.66,18,0,0,0,0
P Negi,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,75,0,0,0,10.71,0,0,0,1,0
V Shankar,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19,0,0,0,19,0,0,0,0,0
