Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns2,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
JP Duminy,14,14,6,410,67,51.25,305,134.42,0,2,0,22,20,11,33,0,240,3,43888,80,7.27,66,0,0,2,0
NM Coulter0Nile,2,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,27,2,43888,13.5,6.75,12,0,0,0,0
MK Tiwary,8,8,3,152,61,30.4,118,128.81,0,1,1,14,4,1,2,0,28,0,0,0,14,0,0,0,1,0
KM Jadhav,10,10,5,149,37,29.8,101,147.52,0,0,2,13,7,0,0,0,0,0,0,0,0,0,0,0,3,0
WD Parnell,8,2,1,2,2,2,2,100,0,0,0,0,0,8,30.1,0,223,6,43882,37.16,7.39,30.1,0,0,2,0
KP Pietersen,11,11,1,294,58,29.4,233,126.18,0,1,1,34,7,0,0,0,0,0,0,0,0,0,0,0,2,0
S Nadeem,11,3,1,7,3,3.5,19,36.84,0,0,0,0,0,11,38,0,311,8,12816,38.87,8.18,28.5,0,0,0,0
KD Karthik,14,14,0,325,69,23.21,258,125.96,0,3,1,28,11,0,0,0,0,0,0,0,0,0,0,0,7,2
Imran Tahir,6,2,0,8,4,4,10,80,0,0,0,2,0,6,20.5,0,171,9,43912,19,8.2,13.8,0,0,0,0
Q de Kock,7,7,0,153,48,21.85,130,117.69,0,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,2,0
Mohammed Shami,12,4,2,3,1,1.5,7,42.85,0,0,1,0,0,12,44,0,369,7,43852,52.71,8.38,37.7,0,0,0,0
LRPL Taylor,4,4,1,59,43,19.66,59,100,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0
JD Unadkat,9,2,1,1,1,1,6,16.66,0,0,1,0,0,9,31.1,0,270,9,11749,30,8.66,20.7,0,0,0,0
M Vijay,11,11,0,207,52,18.81,192,107.81,0,1,1,20,5,1,1,0,13,0,0,0,13,0,0,0,8,0
LR Shukla,5,3,0,31,21,10.33,38,81.57,0,0,1,2,1,5,9.2,0,83,1,43861,83,8.89,56,0,0,1,0
R Shukla,3,3,2,18,14,18,21,85.71,0,0,0,2,0,3,9,0,98,2,43843,49,10.88,27,0,0,1,0
S Kaul,5,1,1,2,2,0,2,100,0,0,0,0,0,5,13,0,126,2,43835,63,9.69,39,0,0,0,0
MA Agarwal,8,8,0,115,31,14.37,91,126.37,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,1,0
JDS Neesham,4,3,0,42,22,14,46,91.3,0,0,0,3,1,4,9,0,91,1,43859,91,10.11,54,0,0,0,0
R Sharma,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,65,1,12055,65,10.83,36,0,0,0,0
