Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
AJ Finch,13,12,2,393,74,39.3,299,131.43,0,5,2,45,11,-,-,-,-,-,-,-,-,-,-,-,3,0
DS Kulkarni,14,5,3,27,10,13.5,16,168.75,0,0,0,3,0,14,49,4,364,18,43935,20.22,7.42,16.3,1,0,2,0
DR Smith,12,12,1,324,73,29.45,221,146.6,0,3,1,35,16,8,18,0,153,8,43929,19.12,8.5,13.5,1,0,7,0
RA Jadeja,15,15,6,191,36*,21.22,177,107.9,0,0,1,14,4,14,40.1,0,311,8,43879,38.87,7.74,30.1,0,0,4,0
SK Raina,15,15,1,399,75,28.5,312,127.88,0,3,0,39,10,4,10,0,82,0,-,-,8.2,-,0,0,7,0
P Kumar,16,7,3,24,15,6,26,92.3,0,0,1,3,0,16,51.3,2,401,9,43880,44.55,7.78,34.3,0,0,2,0
KD Karthik,16,15,2,335,53,25.76,266,125.93,0,3,1,38,3,-,-,-,-,-,-,-,-,-,-,-,11,3
JP Faulkner,7,5,2,77,32,25.66,59,130.5,0,0,0,7,0,7,17,0,167,2,43853,83.5,9.82,51,0,0,3,0
S Kaushik,7,2,1,0,0*,0,1,0,0,0,1,0,0,7,23,0,192,6,43910,32,8.34,23,0,0,0,0
BB McCullum,16,16,0,354,60,22.12,262,135.11,0,1,1,38,16,-,-,-,-,-,-,-,-,-,-,-,0,0
DW Steyn,1,1,0,1,1,1,2,50,0,0,0,0,0,1,2,0,17,0,-,-,8.5,-,0,0,0,0
DJ Bravo,15,13,5,99,22*,12.37,82,120.73,0,0,1,11,1,15,56,0,494,17,43943,29.05,8.82,19.7,1,0,6,0
SB Jakati,6,1,1,1,1*,-,2,50,0,0,0,0,0,6,20,0,178,2,43843,89,8.9,60,0,0,4,0
ER Dwivedi,4,2,0,24,19,12,14,171.42,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,2,0
PV Tambe,7,1,1,7,7*,-,19,36.84,0,0,0,1,0,7,16,0,143,5,43873,28.6,8.93,19.2,0,0,1,0
Ishan Kishan,5,5,0,42,27,8.4,41,102.43,0,0,1,5,0,-,-,-,-,-,-,-,-,-,-,-,1,0
AD Nath,4,3,0,20,12,6.66,27,74.07,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,0,0
S Ladda,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,21,0,-,-,10.5,-,0,0,0,0
PJ Sangwan,2,-,-,-,-,-,-,-,-,-,-,-,-,2,4,0,49,0,-,-,12.25,-,0,0,1,0
