Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
YK Pathan,13,12,5,312,52,44.57,231,135.06,0,1,0,29,12,5,10,0,97,2,14642,48.5,9.7,30,0,0,3,0
RN ten Doeschate,6,5,2,61,38*,20.33,45,135.55,0,0,1,4,3,1,1,0,4,0,-,-,4,-,0,0,1,0
AD Russell,13,11,2,326,66,36.22,169,192.89,0,3,0,35,19,13,40.4,0,324,14,11749,23.14,7.96,17.4,0,0,6,0
GB Hogg,6,2,1,7,5,7,6,116.66,0,0,0,0,0,6,21,0,144,9,43950,16,6.85,14,1,0,0,0
RV Uthappa,13,13,1,364,80*,30.33,277,131.4,0,1,0,42,7,-,-,-,-,-,-,-,-,-,-,-,7,5
SP Narine,8,1,1,0,0*,-,1,0,0,0,0,0,0,8,32,0,234,7,43940,33.42,7.31,27.4,1,0,1,0
UT Yadav,12,4,3,29,24*,29,14,207.14,0,0,1,5,1,12,42,0,382,10,12114,38.2,9.09,25.2,0,0,5,0
M Morkel,7,1,1,4,4*,-,3,133.33,0,0,0,0,0,7,28,1,206,10,43879,20.6,7.35,16.8,0,0,1,0
G Gambhir,13,13,0,327,60,25.15,278,117.62,0,3,1,41,4,-,-,-,-,-,-,-,-,-,-,-,3,0
PP Chawla,13,8,4,54,22,13.5,47,114.89,0,0,2,5,2,13,35,0,269,11,11780,24.45,7.68,19,1,0,2,0
MK Pandey,13,12,1,225,40,20.45,184,122.28,0,0,1,22,7,-,-,-,-,-,-,-,-,-,-,-,5,0
J Botha,4,3,0,31,17,10.33,15,206.66,0,0,0,5,1,4,10,0,81,1,11689,81,8.1,60,0,0,4,0
SA Yadav,13,13,4,157,46*,17.44,113,138.93,0,0,1,12,8,-,-,-,-,-,-,-,-,-,-,-,7,0
Shakib Al Hasan,4,3,0,36,23,12,27,133.33,0,0,1,5,0,4,14,0,123,4,43883,30.75,8.78,21,0,0,0,0
PJ Cummins,3,1,0,0,0,0,2,0,0,0,1,0,0,3,10,0,97,1,19725,97,9.7,60,0,0,1,0
Azhar Mahmood,1,1,0,6,6,6,7,85.71,0,0,0,1,0,1,3,0,41,0,-,-,13.66,-,0,0,0,0
KC Cariappa,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,28,1,43858,28,14,12,0,0,0,0
