Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
MK Pandey,14,13,5,396,81*,49.5,308,128.57,0,2,0,28,12,-,-,-,-,-,-,-,-,-,-,-,8,0
SP Narine,16,14,1,224,54,17.23,130,172.3,0,1,2,34,10,15,59,0,412,10,47150,41.2,6.98,35.4,0,0,4,0
CA Lynn,7,7,1,295,93*,49.16,163,180.98,0,3,0,25,19,-,-,-,-,-,-,-,-,-,-,-,2,0
AS Rajpoot,5,1,0,4,4,4,7,57.14,0,0,0,1,0,5,14,0,107,4,13575,26.75,7.64,21,0,0,1,0
G Gambhir,16,16,4,498,76*,41.5,389,128.02,0,4,0,62,7,-,-,-,-,-,-,-,-,-,-,-,6,0
NM Coulter-Nile,8,3,0,14,6,4.66,12,116.66,0,0,0,0,2,8,28.2,0,228,15,43891,15.2,8.04,11.3,0,0,2,0
IR Jaggi,2,2,1,33,28,33,39,84.61,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-,0,0
Kuldeep Yadav,12,2,0,20,16,10,22,90.9,0,0,0,2,0,11,41,0,340,12,45689,28.33,8.29,20.5,0,0,1,0
RV Uthappa,14,13,0,388,87,29.84,235,165.1,0,5,1,36,21,-,-,-,-,-,-,-,-,-,-,-,9,6
C de Grandhomme,12,9,1,126,36,15.75,92,136.95,0,0,3,10,6,9,16,0,135,4,43924,33.75,8.43,24,0,0,2,0
SP Jackson,4,3,1,38,16,19,31,122.58,0,0,0,5,0,-,-,-,-,-,-,-,-,-,-,-,2,0
UT Yadav,14,4,4,10,4*,-,13,76.92,0,0,0,0,0,14,48.3,0,410,17,12145,24.11,8.45,17.1,1,0,4,0
YK Pathan,15,11,3,143,59,17.87,115,124.34,0,1,1,9,6,4,4,0,41,1,43862,41,10.25,24,0,0,2,0
CR Woakes,13,7,3,46,18,11.5,47,97.87,0,0,0,4,1,13,44,0,386,17,43985,22.7,8.77,15.5,0,0,6,0
SA Yadav,10,7,1,105,31,17.5,88,119.31,0,0,0,8,3,-,-,-,-,-,-,-,-,-,-,-,5,0
PP Chawla,6,1,0,2,2,2,6,33.33,0,0,0,0,0,6,20,0,179,6,12451,29.83,8.95,20,0,0,1,0
TA Boult,6,1,1,5,5*,-,8,62.5,0,0,0,0,0,6,23.5,0,216,5,10990,43.2,9.06,28.6,0,0,0,0
Shakib Al Hasan,1,1,1,1,1*,-,1,100,0,0,0,0,0,1,3,0,31,0,-,-,10.33,-,0,0,0,0
DM Bravo,1,1,1,6,6*,-,5,120,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,0,0
