Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
DA Miller,13,13,2,357,89*,32.45,266,134.21,0,2,0,21,21,-,-,-,-,-,-,-,-,-,-,-,7,0
Sandeep Sharma,14,3,2,9,7,9,14,64.28,0,0,0,1,0,14,50,4,350,13,43946,26.92,7,23,1,0,2,0
GJ Bailey,13,13,2,259,61*,23.54,190,136.31,0,2,0,22,7,-,-,-,-,-,-,-,-,-,-,-,1,0
M Vijay,11,11,0,251,39,22.81,228,110.08,0,0,1,27,8,2,4,0,28,0,-,-,7,-,0,0,4,0
AR Patel,14,12,3,206,40*,22.88,174,118.39,0,0,1,13,8,14,46.4,0,392,13,43872,30.15,8.4,21.5,0,0,7,0
Gurkeerat Singh,5,5,0,35,15,7,39,89.74,0,0,0,3,1,3,9,0,66,3,43878,22,7.33,18,0,0,1,0
BE Hendricks,4,2,2,1,1*,-,2,50,0,0,0,0,0,4,13,0,109,5,14642,21.8,8.38,15.6,0,0,2,0
SE Marsh,4,4,0,81,65,20.25,58,139.65,0,1,0,7,3,-,-,-,-,-,-,-,-,-,-,-,0,0
WP Saha,14,13,0,249,42,19.15,197,126.39,0,0,0,16,10,-,-,-,-,-,-,-,-,-,-,-,11,3
Anureet Singh,14,6,3,18,10,6,31,58.06,0,0,2,0,1,14,51.4,0,465,15,43913,31,9,20.6,0,0,4,0
R Dhawan,5,5,3,36,25*,18,33,109.09,0,0,0,2,2,5,12,0,110,1,43842,110,9.16,72,0,0,0,0
GJ Maxwell,11,11,0,145,43,13.18,112,129.46,0,0,0,13,8,7,10,0,97,2,43835,48.5,9.7,30,0,0,2,0
NLTC Perera,2,2,0,12,9,6,15,80,0,0,0,0,1,2,6,0,55,1,12055,55,9.16,36,0,0,0,0
V Sehwag,8,8,0,99,47,12.37,84,117.85,0,0,1,12,3,-,-,-,-,-,-,-,-,-,-,-,0,0
MG Johnson,9,8,4,31,13*,7.75,36,86.11,0,0,1,1,1,9,35.5,1,336,9,43884,37.33,9.37,23.8,0,0,0,0
M Vohra,7,7,0,82,39,11.71,81,101.23,0,0,0,4,5,-,-,-,-,-,-,-,-,-,-,-,2,0
Karanveer Singh,4,3,2,11,5*,11,16,68.75,0,0,0,1,0,4,14,0,157,1,43860,157,11.21,84,0,0,1,0
SN Thakur,1,1,1,7,7*,-,6,116.66,0,0,0,1,0,1,3,0,38,1,13881,38,12.66,18,0,0,0,0
Shivam Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,44,1,16072,44,14.66,18,0,0,0,0
