Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
SPD Smith,7,7,3,159,41,39.75,132,120.45,0,0,0,15,4,-,-,-,-,-,-,-,-,-,-,-,4,0
RV Gomez,2,1,1,4,4*,-,1,400,0,0,0,1,0,1,1,0,5,0,-,-,5,-,0,0,2,0
AJ Finch,14,14,0,456,67,32.57,336,135.71,0,4,1,54,16,3,4,0,49,1,44136,49,12.25,24,0,0,2,0
Parvez Rasool,2,2,1,5,4*,5,9,55.55,0,0,0,0,0,2,5,0,28,1,44927,28,5.6,30,0,0,0,0
RV Uthappa,16,16,0,434,75,27.12,371,116.98,0,2,1,42,12,-,-,-,-,-,-,-,-,-,-,-,7,0
BAW Mendis,3,1,0,2,2,2,4,50,0,0,0,0,0,3,12,0,78,2,42005,39,6.5,36,0,0,0,0
AD Mathews,11,10,3,172,40,24.57,139,123.74,0,0,1,5,10,10,31,0,240,5,41699,48,7.74,37.2,0,0,5,0
B Kumar,16,9,2,52,24*,7.42,71,73.23,0,0,1,3,1,16,57,2,371,13,43160,28.53,6.5,26.3,0,0,2,0
MK Pandey,7,7,1,136,66,22.66,137,99.27,0,1,1,11,3,-,-,-,-,-,-,-,-,-,-,-,6,0
R Sharma,11,6,2,11,10*,2.75,17,64.7,0,0,3,1,0,11,41,0,281,9,42401,31.22,6.85,27.3,0,0,2,0
LJ Wright,6,6,1,106,44,21.2,60,176.66,0,0,0,16,3,5,9.5,0,100,2,44166,50,10.16,29.5,0,0,2,0
Yuvraj Singh,13,13,1,238,34,19.83,190,125.26,0,0,0,14,15,10,22,0,152,6,46419,25.33,6.9,22,0,0,1,0
MR Marsh,9,8,1,140,38,20,106,132.07,0,0,0,6,10,7,19.2,0,182,7,44014,26,9.41,16.5,0,0,7,0
AM Nayar,11,9,3,66,25*,11,73,90.41,0,0,1,5,0,3,8,0,59,2,42005,29.5,7.37,24,0,0,1,0
TL Suman,7,5,0,52,23,10.4,58,89.65,0,0,1,8,0,1,2,0,15,1,42005,15,7.5,12,0,0,2,0
KW Richardson,3,2,0,34,26,17,36,94.44,0,0,0,2,1,3,11.5,0,101,2,46753,50.5,8.53,35.5,0,0,0,0
LRPL Taylor,5,5,0,63,19,12.6,76,82.89,0,0,0,2,1,-,-,-,-,-,-,-,-,-,-,-,2,0
MN Samuels,2,2,0,8,5,4,18,44.44,0,0,0,1,0,1,4,0,34,1,12420,34,8.5,24,0,0,1,0
WD Parnell,4,1,0,5,5,5,7,71.42,0,0,0,0,0,4,14.5,0,137,6,46447,22.83,9.23,14.8,0,0,1,0
AG Murtaza,3,1,0,5,5,5,4,125,0,0,0,1,0,3,10,0,94,3,42064,31.33,9.4,20,0,0,1,0
UA Birla,2,1,0,7,7,7,14,50,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,1,0
AB Dinda,13,5,3,9,6*,4.5,11,81.81,0,0,2,1,0,13,49,0,465,16,11383,29.06,9.48,18.3,0,0,3,0
K Upadhyay,2,1,1,1,1*,-,1,100,0,0,0,0,0,2,5,0,48,0,-,-,9.6,-,0,0,1,0
M Rawat,2,2,1,5,5,5,11,45.45,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,1,1
IC Pandey,2,1,0,0,0,0,2,0,0,0,1,0,0,2,4,0,50,1,42736,50,12.5,24,0,0,0,0
M Manhas,3,2,2,13,11*,-,17,76.47,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,2,0
