Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
DA Warner,14,14,3,528,90,48,375,140.8,0,6,1,39,24,-,-,-,-,-,-,-,-,-,-,-,8,0
B Kumar,14,2,1,1,1,1,4,25,0,0,0,0,0,14,53.1,0,354,20,43935,17.7,6.65,15.9,1,0,2,0
NV Ojha,11,10,4,232,79*,38.66,161,144.09,0,1,0,14,17,-,-,-,-,-,-,-,-,-,-,-,6,1
KV Sharma,14,8,4,42,17*,10.5,29,144.82,0,0,1,1,3,14,50.4,0,376,15,13971,25.06,7.42,20.2,1,0,0,0
S Dhawan,14,14,1,377,64*,29,319,118.18,0,2,0,49,7,-,-,-,-,-,-,-,-,-,-,-,5,0
DW Steyn,14,4,1,22,12,7.33,26,84.61,0,0,0,1,0,14,56,0,431,11,43881,39.18,7.69,30.5,0,0,7,0
AJ Finch,13,13,2,309,88*,28.09,263,117.49,0,2,0,31,9,-,-,-,-,-,-,-,-,-,-,-,6,0
Y Venugopal Rao,7,5,2,71,27,23.66,63,112.69,0,0,0,8,0,2,2,0,16,0,-,-,8,-,0,0,2,0
IK Pathan,10,6,4,55,23*,27.5,54,101.85,0,0,0,5,0,10,23.4,0,205,4,43871,51.25,8.66,35.5,0,0,2,0
A Mishra,10,2,1,4,4*,4,7,57.14,0,0,1,0,0,10,37.3,0,340,7,43884,48.57,9.06,32.1,0,0,0,0
KL Rahul,11,8,0,166,46,20.75,164,101.21,0,0,0,12,3,-,-,-,-,-,-,-,-,-,-,-,4,0
I Sharma,3,-,-,-,-,-,-,-,-,-,-,-,-,3,11,0,101,3,13547,33.66,9.18,22,0,0,0,0
JO Holder,1,1,0,16,16,16,12,133.33,0,0,0,2,1,1,3,0,35,1,12785,35,11.66,18,0,0,2,0
Parvez Rasool,3,1,1,0,0*,-,0,-,0,0,0,0,0,3,9,0,83,1,43856,83,9.22,54,0,0,1,0
DJG Sammy,10,9,2,108,29,15.42,91,118.68,0,0,1,4,8,8,14,0,157,3,43850,52.33,11.21,28,0,0,5,0
MC Henriques,4,2,0,9,9,4.5,14,64.28,0,0,1,1,0,4,10,0,96,4,43887,24,9.6,15,0,0,1,0
S Anirudha,1,1,0,3,3,3,5,60,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
