,Team,Year,AHP
0,CSK,2008,5.0
1,CSK,2009,5.0
2,CSK,2010,5.0
3,CSK,2011,5.0
4,CSK,2012,5.0
5,CSK,2013,5.0
6,CSK,2014,5.0
7,CSK,2015,5.0
8,CSK,2018,5.0
9,CSK,2019,5.0
10,DD,2008,8.0
11,DD,2009,8.0
12,DD,2010,8.0
13,DD,2011,8.0
14,DD,2012,8.0
15,DD,2013,8.0
16,DD,2014,8.0
17,DD,2015,8.0
18,DD,2016,8.0
19,DD,2017,8.0
20,DD,2018,8.0
21,DD,2019,8.0
22,GL,2016,5.0
23,GL,2017,5.0
24,KKR,2008,3.0
25,KKR,2009,3.0
26,KKR,2010,3.0
27,KKR,2011,3.0
28,KKR,2012,3.0
29,KKR,2013,3.0
30,KKR,2014,3.0
31,KKR,2015,3.0
32,KKR,2016,3.0
33,KKR,2017,3.0
34,KKR,2018,3.0
35,KKR,2019,3.0
36,KTK,2011,5.0
37,KXIP,2008,6.0
38,KXIP,2009,6.0
39,KXIP,2010,6.0
40,KXIP,2011,6.0
41,KXIP,2012,6.0
42,KXIP,2013,6.0
43,KXIP,2014,6.0
44,KXIP,2015,6.0
45,KXIP,2016,6.0
46,KXIP,2017,6.0
47,KXIP,2018,6.0
48,KXIP,2019,6.0
49,MI,2008,2.0
50,MI,2009,2.0
51,MI,2010,2.0
52,MI,2011,2.0
53,MI,2012,2.0
54,MI,2013,2.0
55,MI,2014,2.0
56,MI,2015,2.0
57,MI,2016,2.0
58,MI,2017,2.0
59,MI,2018,2.0
60,MI,2019,2.0
61,RCB,2008,5.0
62,RCB,2009,5.0
63,RCB,2010,5.0
64,RCB,2011,5.0
65,RCB,2012,5.0
66,RCB,2013,5.0
67,RCB,2014,5.0
68,RCB,2015,5.0
69,RCB,2016,5.0
70,RCB,2017,5.0
71,RCB,2018,5.0
72,RCB,2019,5.0
73,RPS,2011,9.0
74,RPS,2012,9.0
75,RPS,2013,9.0
76,RPS,2016,9.0
77,RPS,2017,9.0
78,RR,2008,4.0
79,RR,2009,4.0
80,RR,2010,4.0
81,RR,2011,4.0
82,RR,2012,4.0
83,RR,2013,4.0
84,RR,2014,4.0
85,RR,2015,4.0
86,RR,2018,4.0
87,RR,2019,4.0
88,SRH,2008,7.0
89,SRH,2009,7.0
90,SRH,2010,7.0
91,SRH,2011,7.0
92,SRH,2012,7.0
93,SRH,2013,7.0
94,SRH,2014,7.0
95,SRH,2015,7.0
96,SRH,2016,7.0
97,SRH,2017,7.0
98,SRH,2018,7.0
99,SRH,2019,7.0
