learning_rate,max_depth,min_child_weight,gamma,colsample_bytree,Ambiguity,Real Test Accuracy,Train Accuracy
0.05,4,1,0.0,0.3,7.3098181818181835,51.61727272727273,98.74963636363643
0.05,4,1,0.0,0.4,7.282000000000001,51.509818181818176,98.82036363636365
0.05,4,1,0.0,0.7,8.244363636363635,50.949272727272735,99.01654545454545
0.05,4,1,0.1,0.3,6.907454545454545,51.80236363636363,98.75345454545452
0.05,4,1,0.1,0.4,6.987272727272728,51.643454545454524,98.82781818181819
0.05,4,1,0.1,0.7,8.405090909090909,50.97454545454544,99.054
0.05,4,1,0.2,0.3,8.032727272727275,51.028909090909075,98.75763636363638
0.05,4,1,0.2,0.4,7.200181818181819,51.29636363636363,98.86527272727271
0.05,4,1,0.2,0.7,8.672363636363636,50.4949090909091,99.05672727272727
0.05,4,3,0.0,0.3,7.579090909090911,51.26763636363634,98.23563636363637
0.05,4,3,0.0,0.4,6.960909090909087,51.08072727272728,98.28254545454544
0.05,4,3,0.0,0.7,8.138545454545454,50.73345454545454,98.4732727272727
0.05,4,3,0.1,0.3,6.878363636363638,51.6169090909091,98.16963636363639
0.05,4,3,0.1,0.4,6.87909090909091,51.216181818181816,98.27909090909095
0.05,4,3,0.1,0.7,8.059090909090909,50.30472727272729,98.46490909090909
0.05,4,3,0.2,0.3,6.691818181818183,51.134181818181794,98.21399999999998
0.05,4,3,0.2,0.4,6.933818181818183,51.21418181818181,98.2623636363636
0.05,4,3,0.2,0.7,8.086727272727275,50.384363636363624,98.46254545454545
0.05,5,1,0.0,0.3,6.9870909090909095,51.37690909090909,99.98818181818183
0.05,5,1,0.0,0.4,7.201454545454546,51.5129090909091,99.99618181818182
0.05,5,1,0.0,0.7,7.816363636363638,51.163636363636364,99.99745454545456
0.05,5,1,0.1,0.3,6.561454545454544,51.16309090909091,99.98945454545455
0.05,5,1,0.1,0.4,7.2796363636363655,51.40599999999999,99.99327272727272
0.05,5,1,0.1,0.7,8.402545454545455,50.89836363636362,99.99490909090909
0.05,5,1,0.2,0.3,7.576000000000001,50.84163636363638,99.98454545454543
0.05,5,1,0.2,0.4,7.41709090909091,51.29563636363636,99.99618181818182
0.05,5,1,0.2,0.7,8.056909090909095,51.08327272727272,100.0
0.05,5,3,0.0,0.3,6.802000000000001,51.267818181818186,99.80509090909094
0.05,5,3,0.0,0.4,7.202727272727272,51.242363636363635,99.81090909090913
0.05,5,3,0.0,0.7,8.35309090909091,50.51945454545456,99.84363636363638
0.05,5,3,0.1,0.3,6.50618181818182,51.751090909090905,99.79163636363639
0.05,5,3,0.1,0.4,6.93490909090909,51.322545454545455,99.80836363636367
0.05,5,3,0.1,0.7,7.386727272727273,51.11272727272726,99.85345454545454
0.05,5,3,0.2,0.3,6.907454545454546,51.349272727272734,99.77963636363638
0.05,5,3,0.2,0.4,6.958727272727272,51.37799999999999,99.81927272727272
0.05,5,3,0.2,0.7,7.278727272727273,51.30054545454546,99.84436363636367
0.05,6,1,0.0,0.3,6.719454545454544,51.592181818181814,100.0
0.05,6,1,0.0,0.4,6.718,51.80636363636364,100.0
0.05,6,1,0.0,0.7,7.6285454545454545,51.538181818181805,100.0
0.05,6,1,0.1,0.3,6.853454545454548,51.48472727272728,100.0
0.05,6,1,0.1,0.4,7.200727272727275,51.51127272727273,100.0
0.05,6,1,0.1,0.7,8.433636363636365,50.92181818181817,100.0
0.05,6,1,0.2,0.3,6.664,51.85963636363636,100.0
0.05,6,1,0.2,0.4,7.439454545454547,51.53945454545453,100.0
0.05,6,1,0.2,0.7,7.52218181818182,51.325454545454534,100.0
0.05,6,3,0.0,0.3,7.09381818181818,51.45672727272728,99.99600000000001
0.05,6,3,0.0,0.4,6.774909090909092,51.56309090909092,99.99472727272729
0.05,6,3,0.0,0.7,7.1987272727272735,51.32454545454545,99.99600000000001
0.05,6,3,0.1,0.3,6.612909090909089,51.16272727272726,99.99472727272729
0.05,6,3,0.1,0.4,6.988545454545454,51.56218181818181,99.99345454545455
0.05,6,3,0.1,0.7,7.35909090909091,51.03218181818182,99.98945454545455
0.05,6,3,0.2,0.3,6.587272727272726,51.83072727272728,99.99327272727272
0.05,6,3,0.2,0.4,7.094545454545455,51.430727272727275,99.99236363636363
0.05,6,3,0.2,0.7,8.029818181818184,51.083999999999996,99.99072727272727
0.1,4,1,0.0,0.3,7.73818181818182,51.02945454545454,99.99872727272728
0.1,4,1,0.0,0.4,7.228181818181818,51.88781818181817,99.99618181818184
0.1,4,1,0.0,0.7,8.325818181818184,50.46799999999999,100.0
0.1,4,1,0.1,0.3,7.550545454545455,51.081999999999994,99.99618181818182
0.1,4,1,0.1,0.4,7.5476363636363635,50.89636363636364,99.99872727272728
0.1,4,1,0.1,0.7,7.121272727272727,51.271454545454525,100.0
0.1,4,1,0.2,0.3,7.598181818181821,51.138909090909095,99.99490909090908
0.1,4,1,0.2,0.4,7.548545454545457,50.7350909090909,99.99872727272728
0.1,4,1,0.2,0.7,8.729636363636363,50.73363636363634,100.0
0.1,4,3,0.0,0.3,7.042000000000001,50.70727272727272,99.94454545454545
0.1,4,3,0.0,0.4,7.521818181818182,50.816909090909085,99.95236363636366
0.1,4,3,0.0,0.7,7.118909090909092,51.03272727272725,99.9830909090909
0.1,4,3,0.1,0.3,6.959090909090911,50.896909090909084,99.95145454545457
0.1,4,3,0.1,0.4,7.256545454545455,50.948545454545446,99.95636363636365
0.1,4,3,0.1,0.7,8.003636363636366,50.281454545454544,99.98436363636364
0.1,4,3,0.2,0.3,7.55,50.73527272727272,99.92981818181822
0.1,4,3,0.2,0.4,8.11109090909091,50.22818181818182,99.93927272727275
0.1,4,3,0.2,0.7,8.002363636363638,50.01563636363636,99.96872727272728
0.1,5,1,0.0,0.3,7.012545454545456,51.085636363636354,100.0
0.1,5,1,0.0,0.4,7.519636363636365,51.27363636363636,100.0
0.1,5,1,0.0,0.7,7.895272727272729,50.97963636363636,100.0
0.1,5,1,0.1,0.3,7.572909090909093,51.511636363636356,100.0
0.1,5,1,0.1,0.4,7.95109090909091,50.89563636363637,100.0
0.1,5,1,0.1,0.7,8.296000000000001,51.058909090909076,100.0
0.1,5,1,0.2,0.3,7.948909090909092,51.13745454545455,100.0
0.1,5,1,0.2,0.4,7.816545454545456,51.833999999999996,100.0
0.1,5,1,0.2,0.7,8.325454545454546,51.19254545454547,100.0
0.1,5,3,0.0,0.3,7.198000000000002,51.4070909090909,100.0
0.1,5,3,0.0,0.4,6.664181818181818,51.9141818181818,100.0
0.1,5,3,0.0,0.7,7.54927272727273,50.92363636363638,100.0
0.1,5,3,0.1,0.3,6.693090909090912,51.511090909090896,100.0
0.1,5,3,0.1,0.4,7.54890909090909,50.65472727272727,100.0
0.1,5,3,0.1,0.7,7.442000000000002,50.76272727272727,100.0
0.1,5,3,0.2,0.3,7.496727272727273,50.814727272727254,100.0
0.1,5,3,0.2,0.4,7.441454545454544,51.271454545454546,100.0
0.1,5,3,0.2,0.7,8.405818181818185,50.280363636363624,100.0
