Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
PD Collingwood,8,7,2,203,75*,40.6,156,130.12,0,3,0,9,13,6,14.5,0,101,5,43880,20.2,6.8,17.8,0,0,4,0
V Sehwag,14,14,0,356,75,25.42,218,163.3,0,3,1,47,14,3,5.4,0,23,3,43879,7.66,4.05,11.3,0,0,2,0
M Manhas,9,8,4,157,32*,39.25,149,105.36,0,0,0,14,0,-,-,-,-,-,-,-,-,-,-,-,5,0
DP Nannes,9,2,1,4,3,4,13,30.76,0,0,0,0,0,9,34.1,0,224,7,43873,32,6.55,29.2,0,0,0,0
DL Vettori,3,3,2,33,19*,33,27,122.22,0,0,0,4,0,3,11.4,0,97,2,43860,48.5,8.31,35,0,0,0,0
G Gambhir,11,10,1,277,72,30.77,217,127.64,0,2,0,32,2,-,-,-,-,-,-,-,-,-,-,-,3,0
A Mishra,14,7,3,39,12,9.75,51,76.47,0,0,1,1,0,14,53,0,363,17,43915,21.35,6.84,18.7,0,0,4,0
DA Warner,11,11,1,282,107*,28.2,191,147.64,1,1,2,27,14,-,-,-,-,-,-,-,-,-,-,-,8,0
A Nehra,4,2,1,23,22*,23,20,115,0,0,0,2,1,4,14,0,96,6,43916,16,6.85,14,0,0,2,0
UT Yadav,7,1,1,3,3*,-,4,75,0,0,0,0,0,7,24,0,184,6,43885,30.66,7.66,24,0,0,1,0
KM Jadhav,5,5,2,76,50*,25.33,56,135.71,0,1,0,7,2,-,-,-,-,-,-,-,-,-,-,-,0,0
VY Mahesh,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,23,1,43853,23,7.66,18,0,0,0,0
R Bhatia,5,3,0,24,21,8,17,141.17,0,0,0,1,2,5,16,0,132,3,43854,44,8.25,32,0,0,1,0
KD Karthik,14,14,1,278,69,21.38,237,117.29,0,1,1,26,6,-,-,-,-,-,-,-,-,-,-,-,6,6
AB de Villiers,7,7,0,111,45,15.85,119,93.27,0,0,0,7,0,-,-,-,-,-,-,-,-,-,-,-,6,0
PJ Sangwan,8,2,1,10,6*,10,14,71.42,0,0,0,0,0,8,31,0,258,9,43912,28.66,8.32,20.6,0,0,1,0
MC Henriques,1,1,0,11,11,11,5,220,0,0,0,2,0,1,4,0,35,1,12785,35,8.75,24,0,0,1,0
TM Dilshan,6,6,0,44,17,7.33,53,83.01,0,0,2,6,0,4,8.1,0,70,3,43837,23.33,8.57,16.3,0,0,4,0
MF Maharoof,7,4,1,31,28,10.33,23,134.78,0,0,1,2,2,7,24,0,206,8,43874,25.75,8.58,18,0,0,1,0
Y Nagar,1,1,0,1,1,1,6,16.66,0,0,0,0,0,1,3,0,28,1,43858,28,9.33,18,0,0,0,0
S Ladda,5,2,1,0,0*,0,9,0,0,0,1,0,0,5,15,0,143,4,16103,35.75,9.53,22.5,0,0,0,0
AB McDonald,4,3,3,65,33*,-,52,125,0,0,0,3,2,4,14,0,138,5,13547,27.6,9.85,16.8,0,0,0,0
