Player,Mat,Table1.Inns,Table1.NO,Table1.Runs,Table1.HS,Table1.Ave,Table1.BF,Table1.SR,Table1.100,Table1.50,Table1.0,Table1.4s,Table1.6s,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
NB Singh,2,-,-,-,-,-,-,-,-,-,-,-,-,2,4,0,15,1,44013,15,3.75,24,0,0,0,0
SK Raina,14,14,3,442,84,40.18,307,143.97,0,3,0,42,13,6,12,0,102,1,44136,102,8.5,72,0,0,4,0
AJ Tye,6,3,1,53,25,26.5,30,176.66,0,0,0,4,3,6,21,0,141,12,42856,11.75,6.71,10.5,0,1,0,0
RA Jadeja,12,10,6,158,28,39.5,113,139.82,0,0,0,13,4,12,38,0,349,5,46784,69.8,9.18,45.6,0,0,2,0
Ankit Soni,7,3,1,7,7*,3.5,9,77.77,0,0,2,0,1,6,18.1,0,144,2,42370,72,7.92,54.5,0,0,1,0
KD Karthik,14,13,3,361,65,36.1,259,139.38,0,2,1,30,11,-,-,-,-,-,-,-,-,-,-,-,8,0
MM Patel,2,1,0,0,0,0,1,0,0,0,1,0,0,2,7,0,57,1,12785,57,8.14,42,0,0,0,0
JJ Roy,3,3,1,59,31,29.5,40,147.5,0,0,0,9,1,-,-,-,-,-,-,-,-,-,-,-,1,0
BB McCullum,11,11,0,319,72,29,217,147,0,2,0,29,18,-,-,-,-,-,-,-,-,-,-,-,8,0
P Kumar,6,2,1,8,7*,8,9,88.88,0,0,0,0,0,6,16.3,0,151,6,44593,25.16,9.15,16.5,0,0,0,0
Ishan Kishan,11,10,0,277,61,27.7,206,134.46,0,1,0,29,13,-,-,-,-,-,-,-,-,-,-,-,3,0
DS Kulkarni,6,1,0,1,1,1,2,50,0,0,0,0,0,6,18.5,0,173,3,45292,57.66,9.18,37.6,0,0,1,0
AJ Finch,13,13,1,299,72,24.91,180,166.11,0,2,1,25,19,-,-,-,-,-,-,-,-,-,-,-,5,0
Tejas Baroka,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3.3,0,33,0,-,-,9.42,-,0,0,0,0
DR Smith,12,12,1,239,74,21.72,156,153.2,0,2,2,32,8,9,13,0,148,2,44105,74,11.38,39,0,0,3,0
Basil Thampi,12,5,5,28,13*,-,28,100,0,0,0,1,1,12,44.4,0,424,11,47178,38.54,9.49,24.3,0,0,2,0
JP Faulkner,8,6,2,54,21,13.5,57,94.73,0,0,0,4,0,8,26.2,0,258,6,12451,43,9.79,26.3,0,0,3,0
S Kaushik,3,-,-,-,-,-,-,-,-,-,-,-,-,3,11,0,105,0,-,-,9.54,-,0,0,0,0
PJ Sangwan,5,3,1,2,1*,1,4,50,0,0,1,0,0,5,18,0,181,5,13912,36.2,10.05,21.6,0,0,0,0
IK Pathan,1,1,0,2,2,2,3,66.66,0,0,0,0,0,1,2,0,26,0,-,-,13,-,0,0,0,0
SB Jakati,2,-,-,-,-,-,-,-,-,-,-,-,-,2,5,0,52,0,-,-,10.4,-,0,0,0,0
SS Agarwal,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,42,1,15342,42,10.5,24,0,0,1,0
AD Nath,1,1,0,0,0,0,1,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
MS Gony,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,32,0,-,-,16,-,0,0,0,0
