Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
OA Shah,5,5,3,115,58*,57.5,95,121.05,0,1,0,7,5,-,-,-,-,-,-,-,-,-,-,-,0,0
M Kartik,10,2,0,22,21,11,22,100,0,0,0,2,0,10,39,0,253,9,43881,28.11,6.48,26,0,0,5,0
AB Agarkar,7,4,3,40,17,40,29,137.93,0,0,0,4,0,7,22,0,203,4,11720,50.75,9.22,33,0,0,1,0
AB Dinda,7,1,0,0,0,0,1,0,0,0,1,0,0,7,23.1,0,152,9,43876,16.88,6.56,15.4,0,0,0,0
SC Ganguly,14,14,1,493,88,37.92,419,117.66,0,4,1,58,15,3,4,0,43,0,-,-,10.75,-,0,0,7,0
Iqbal Abdulla,3,1,1,0,0*,-,1,0,0,0,0,0,0,3,8.3,0,61,1,43858,61,7.17,51,0,0,0,0
AD Mathews,14,11,4,233,65*,33.28,184,126.63,0,1,1,18,8,12,37.3,0,314,8,43940,39.25,8.37,28.1,1,0,3,0
SE Bond,8,1,0,1,1,1,2,50,0,0,0,0,0,8,31,1,224,9,43885,24.88,7.22,20.6,0,0,1,0
CH Gayle,9,9,0,292,88,32.44,184,158.69,0,2,1,30,16,6,16,0,152,4,43839,38,9.5,24,0,0,2,0
CK Langeveldt,3,1,0,0,0,0,1,0,0,0,1,0,0,3,11,0,88,5,43887,17.6,8,13.2,0,0,0,0
CA Pujara,10,6,2,122,45*,30.5,115,106.08,0,0,0,14,3,-,-,-,-,-,-,-,-,-,-,-,2,0
DJ Hussey,6,6,2,94,31,23.5,86,109.3,0,0,1,5,5,5,10,0,80,0,-,-,8,-,0,0,4,0
BB McCullum,5,5,1,114,57*,28.5,110,103.63,0,1,1,14,2,-,-,-,-,-,-,-,-,-,-,-,2,0
RS Gavaskar,2,1,0,2,2,2,8,25,0,0,0,0,0,1,1,0,8,0,-,-,8,-,0,0,0,0
MK Tiwary,13,11,2,237,75*,26.33,186,127.41,0,2,3,23,5,1,1,0,11,1,43841,11,11,6,0,0,4,0
BJ Hodge,4,4,0,99,50,24.75,90,110,0,1,1,11,1,4,5,0,41,2,43834,20.5,8.2,15,0,0,3,0
JD Unadkat,3,-,-,-,-,-,-,-,-,-,-,-,-,3,10.2,0,85,4,43916,21.25,8.22,15.5,0,0,1,0
BAW Mendis,2,1,1,1,1*,-,1,100,0,0,0,0,0,2,8,0,66,2,43883,33,8.25,24,0,0,0,0
WP Saha,13,7,4,67,22,22.33,53,126.41,0,0,0,9,1,-,-,-,-,-,-,-,-,-,-,-,3,3
LR Shukla,4,2,0,36,19,18,26,138.46,0,0,0,3,2,4,12,0,106,3,43860,35.33,8.83,24,0,0,2,0
I Sharma,7,2,1,6,6*,6,17,35.29,0,0,1,0,0,7,25,0,236,7,12086,33.71,9.44,21.4,0,0,1,0
Mandeep Singh,3,2,0,4,4,2,11,36.36,0,0,1,1,0,-,-,-,-,-,-,-,-,-,-,-,0,0
MB Parmar,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,33,0,-,-,11,-,0,0,0,0
Harpreet Singh,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
