Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table2.Inns,Table2.Overs,Table2.Mdns,Table2.Runs,Table2.Wkts,Table2.BBI,Table2.Ave,Table2.Econ,Table2.SR,Table2.4,Table2.5,Table2.Ct,Table2.St
KL Rahul,14,14,2,659,95*,54.91,416,158.41,0,6,0,66,32,-,-,-,-,-,-,-,-,-,-,-,10,1
Mujeeb Ur Rahman,11,2,1,10,10*,10,7,142.85,0,0,1,2,0,11,41.2,0,289,14,46447,20.64,6.99,17.7,0,0,1,0
CH Gayle,11,11,2,368,104*,40.88,252,146.03,1,3,1,30,27,-,-,-,-,-,-,-,-,-,-,-,2,0
AJ Tye,14,8,2,32,14,5.33,38,84.21,0,0,2,2,1,14,56,0,448,24,42461,18.66,8,14,3,0,5,0
DA Miller,3,3,1,74,26,37,64,115.62,0,0,0,3,2,-,-,-,-,-,-,-,-,-,-,-,0,0
R Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,3,7,5,14,50.4,0,410,10,43132,41,8.09,30.4,0,0,5,0
KK Nair,13,12,0,301,54,25.08,221,136.19,0,2,0,23,13,-,-,-,-,-,-,-,-,-,-,-,9,0
AR Patel,9,8,2,80,19,13.33,69,115.94,0,0,0,3,4,8,26,0,218,3,44197,72.66,8.38,52,0,0,2,0
MP Stoinis,7,7,3,99,29*,24.75,76,130.26,0,0,0,6,4,6,11,0,120,3,42005,40,10.9,22,0,0,2,0
AS Rajpoot,8,3,0,11,8,3.66,18,61.11,0,0,0,1,0,8,26.1,1,223,11,41760,20.27,8.52,14.2,0,1,2,0
AJ Finch,10,9,1,134,46,16.75,100,134,0,0,2,6,8,-,-,-,-,-,-,-,-,-,-,-,4,0
MK Tiwary,5,4,1,47,35,15.66,44,106.81,0,0,0,4,1,1,1,0,10,0,-,-,10,-,0,0,4,0
BB Sran,6,4,3,3,2,3,7,42.85,0,0,0,0,0,6,22,0,229,4,18295,57.25,10.4,33,0,0,2,0
MM Sharma,9,4,3,10,4*,10,13,76.92,0,0,0,1,0,9,29.4,0,322,7,12086,46,10.85,25.4,0,0,2,0
MA Agarwal,11,11,1,120,30,12,94,127.65,0,0,1,9,5,-,-,-,-,-,-,-,-,-,-,-,2,0
Yuvraj Singh,8,6,0,65,20,10.83,73,89.04,0,0,0,6,2,2,2,0,23,0,-,-,11.5,-,0,0,1,0
AD Nath,1,1,0,9,9,9,13,69.23,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,1,0
