Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
JEC Franklin,8,5,3,107,45*,53.5,78,137.17,0,0,0,10,2,6,10.1,0,99,3,12816,33,9.73,20.3,0,0,2,0
AG Murtaza,5,1,1,2,2*,-,5,40,0,0,0,0,0,5,20,0,117,3,43132,39,5.85,40,0,0,1,0
SR Tendulkar,16,16,3,553,100*,42.53,488,113.31,1,2,0,67,5,-,-,-,-,-,-,-,-,-,-,-,4,0
SL Malinga,16,4,1,8,7,2.66,9,88.88,0,0,1,0,1,16,63,2,375,28,41395,13.39,5.95,13.5,0,1,4,0
Harbhajan Singh,15,8,5,103,30,34.33,71,145.07,0,0,0,9,6,15,53,1,370,14,43221,26.42,6.98,22.7,0,1,2,0
MM Patel,15,1,0,0,0,0,1,0,0,0,1,0,0,15,54.2,1,358,22,44317,16.27,6.58,14.8,0,1,3,0
RG Sharma,16,14,3,372,87,33.81,297,125.25,0,3,1,32,13,3,4,0,53,0,-,-,13.25,-,0,0,7,0
A Symonds,11,9,5,135,44*,33.75,138,97.82,0,0,0,9,3,3,4,0,41,1,44136,41,10.25,24,0,0,5,0
DS Kulkarni,6,2,1,2,2,2,4,50,0,0,0,0,0,6,20,0,149,5,46082,29.8,7.45,24,0,0,1,0
AT Rayudu,16,16,2,395,63*,28.21,350,112.85,0,4,1,44,9,-,-,-,-,-,-,-,-,-,-,-,7,1
R Sathish,9,3,1,25,18*,12.5,34,73.52,0,0,1,1,0,4,5.1,0,41,0,-,-,7.93,-,0,0,3,0
AC Blizzard,6,6,0,120,51,20,87,137.93,0,1,0,21,2,-,-,-,-,-,-,-,-,-,-,-,4,0
TL Suman,8,7,1,65,36,10.83,51,127.45,0,0,0,5,5,3,6,0,50,0,-,-,8.33,-,0,0,2,0
DJ Jacobs,6,6,0,92,32,15.33,88,104.54,0,0,0,10,4,-,-,-,-,-,-,-,-,-,-,-,2,2
AN Ahmed,6,1,1,18,18*,-,13,138.46,0,0,0,1,1,6,20,1,169,5,41306,33.8,8.45,24,0,0,1,0
KA Pollard,16,13,3,146,28,14.6,133,109.77,0,0,1,12,6,16,42.3,0,361,10,45323,36.1,8.49,25.5,0,0,10,0
RW Price,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,33,0,-,-,11,-,0,0,0,0
