Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns2,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
AB de Villiers,14,13,2,395,89,35.9,249,158.63,0,3,1,26,24,0,0,0,0,0,0,0,0,0,0,0,7,0
R Rampaul,2,1,0,13,13,13,13,100,0,0,0,0,1,2,6,0,37,1,43851,37,6.16,36,0,0,0,0
Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3,1,22,28,10,22.4,0,187,5,12875,37.4,8.25,27.2,1,0,4,0
YS Chahal,14,2,2,1,1,0,1,100,0,0,0,0,0,14,55,1,386,12,43878,32.16,7.01,27.5,0,0,3,0
V Kohli,14,14,1,359,73,27.61,294,122.1,0,2,3,23,16,0,0,0,0,0,0,0,0,0,0,0,7,0
MA Starc,14,9,3,85,29,14.16,84,101.19,0,0,0,9,0,14,53.4,0,402,14,43882,28.71,7.49,23,0,0,9,0
S Rana,9,7,4,73,19,24.33,65,112.3,0,0,0,7,1,2,2,0,16,0,0,0,8,0,0,0,3,0
CH Gayle,9,9,0,196,46,21.77,184,106.52,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,2,0
JA Morkel,7,5,2,45,16,15,41,109.75,0,0,0,1,3,6,16,0,126,4,43848,31.5,7.87,24,0,0,2,0
YV Takawale,5,5,0,104,45,20.8,91,114.28,0,0,2,17,1,0,0,0,0,0,0,0,0,0,0,0,2,1
AN Ahmed,4,1,1,4,4,0,1,400,0,0,0,1,0,4,14.2,0,113,3,43848,37.66,7.88,28.6,0,0,0,0
PA Patel,12,12,2,205,57,20.5,185,110.81,0,1,0,30,1,0,0,0,0,0,0,0,0,0,0,0,11,1
VR Aaron,10,3,3,35,17,0,34,102.94,0,0,0,2,1,10,36.4,1,299,16,43906,18.68,8.15,13.7,0,0,0,0
VH Zol,3,2,0,29,16,14.5,26,111.53,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AB Dinda,9,3,2,4,2,4,12,33.33,0,0,1,0,0,9,31,0,270,5,43844,54,8.7,37.2,0,0,0,0
RR Rossouw,3,3,0,39,24,13,41,95.12,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HV Patel,3,3,1,13,6,6.5,7,185.71,0,0,0,1,1,3,11,0,113,4,20486,28.25,10.27,16.5,0,0,0,0
SB Jakati,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4,0,41,0,0,0,11.18,0,0,0,0,0
NJ Maddinson,2,2,0,16,12,8,14,114.28,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
