Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
AB de Villiers,16,14,3,513,133*,46.63,293,175.08,1,2,1,60,22,-,-,-,-,-,-,-,-,-,-,-,8,0
V Kohli,16,16,5,505,82*,45.9,386,130.82,0,3,0,35,23,2,1.5,0,10,0,-,-,5.45,-,0,0,7,0
MA Starc,13,3,2,11,9*,11,14,78.57,0,0,0,1,0,12,43,1,291,20,43936,14.55,6.76,12.9,1,0,7,0
CH Gayle,14,14,2,491,117,40.91,333,147.44,1,2,0,39,38,1,2,0,15,0,-,-,7.5,-,0,0,1,0
S Aravind,5,1,1,0,0*,-,1,0,0,0,0,0,0,5,18,0,132,8,43948,16.5,7.33,13.5,1,0,1,0
D Wiese,14,7,3,122,47*,30.5,86,141.86,0,0,0,12,4,13,42.2,0,353,16,12145,22.06,8.33,15.8,1,0,5,0
HV Patel,15,7,2,19,9*,3.8,12,158.33,0,0,2,0,2,14,43.5,0,328,17,43873,19.29,7.48,15.4,0,0,1,0
SN Khan,13,8,4,111,45*,27.75,71,156.33,0,0,0,12,2,-,-,-,-,-,-,-,-,-,-,-,0,0
Mandeep Singh,14,9,2,157,54*,22.42,100,157,0,1,2,17,6,-,-,-,-,-,-,-,-,-,-,-,7,0
Iqbal Abdulla,5,2,0,20,20,10,18,111.11,0,0,1,4,0,5,19,1,150,4,13181,37.5,7.89,28.5,0,0,1,0
MS Bisla,2,2,0,37,20,18.5,30,123.33,0,0,0,6,1,-,-,-,-,-,-,-,-,-,-,-,1,0
DJG Sammy,2,2,0,13,7,6.5,18,72.22,0,0,0,0,0,2,3,0,25,0,-,-,8.33,-,0,0,1,0
KD Karthik,16,11,0,141,28,12.81,117,120.51,0,0,0,15,4,-,-,-,-,-,-,-,-,-,-,-,14,4
YS Chahal,15,2,2,1,1*,-,1,100,0,0,0,0,0,14,46.5,0,415,23,14671,18.04,8.86,12.2,0,0,4,0
VR Aaron,6,1,0,6,6,6,3,200,0,0,0,0,1,5,17.2,0,177,3,43885,59,10.21,34.6,0,0,1,0
AN Ahmed,3,3,2,10,5*,10,5,200,0,0,0,2,0,3,12,0,128,1,43858,128,10.66,72,0,0,0,0
SA Abbott,2,2,0,15,14,7.5,13,115.38,0,0,0,1,1,2,5,0,57,0,-,-,11.4,-,0,0,0,0
RR Rossouw,2,2,0,14,14,7,10,140,0,0,1,1,1,-,-,-,-,-,-,-,-,-,-,-,2,0
AB Dinda,2,-,-,-,-,-,-,-,-,-,-,-,-,2,5,0,62,0,-,-,12.4,-,0,0,1,0
NJ Maddinson,1,1,0,4,4,4,7,57.14,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,0,0
