Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
SPD Smith,15,15,3,472,84*,39.33,387,121.96,0,3,0,38,12,-,-,-,-,-,-,-,-,-,-,-,7,0
Washington Sundar,11,5,4,9,5*,9,12,75,0,0,1,0,0,10,30,0,185,8,42430,23.12,6.16,22.5,0,0,5,0
MK Tiwary,15,13,3,324,60,32.4,236,137.28,0,2,1,31,11,-,-,-,-,-,-,-,-,-,-,-,6,0
JD Unadkat,12,2,2,2,2*,-,5,40,0,0,0,0,0,12,45.5,3,322,24,11079,13.41,7.02,11.4,0,1,9,0
BA Stokes,12,11,1,316,103*,31.6,221,142.98,1,1,0,22,15,12,44,1,316,12,43160,26.33,7.18,22,0,0,5,0
LH Ferguson,4,1,1,1,1*,-,1,100,0,0,0,0,0,4,13,1,93,3,44014,31,7.15,26,0,0,0,0
RA Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,1,43,17,1,1,0,12,0,-,-,12,-,0,0,5,0
MS Dhoni,16,15,4,290,61*,26.36,250,116,0,1,0,15,16,-,-,-,-,-,-,-,-,-,-,-,10,3
DT Christian,13,9,4,79,17*,15.8,49,161.22,0,0,0,5,5,13,40,0,298,11,44106,27.09,7.45,21.8,0,0,6,0
AM Rahane,16,16,1,382,60,25.46,323,118.26,0,2,2,35,9,-,-,-,-,-,-,-,-,-,-,-,6,0
Imran Tahir,12,1,1,0,0*,-,2,0,0,0,0,0,0,12,47,0,369,18,43160,20.5,7.85,15.6,0,0,2,0
Ankit Sharma,1,1,0,25,25,25,15,166.66,0,0,0,2,1,1,1,0,16,0,-,-,16,-,0,0,0,0
R Bhatia,3,2,1,16,16,16,17,94.11,0,0,0,0,1,3,7,0,55,2,41671,27.5,7.85,21,0,0,2,0
A Zampa,6,1,0,5,5,5,7,71.42,0,0,0,1,0,6,19.5,0,163,7,44593,23.28,8.21,17,0,0,0,0
SN Thakur,12,3,0,0,0,0,3,0,0,0,3,0,0,12,38.1,0,315,11,43525,28.63,8.25,20.8,0,0,4,0
DL Chahar,3,1,0,14,14,14,6,233.33,0,0,0,0,2,3,7,0,74,1,12785,74,10.57,42,0,0,0,0
RD Chahar,3,1,1,3,3*,-,2,150,0,0,0,0,0,2,7,0,58,2,46023,29,8.28,21,0,0,1,0
MA Agarwal,3,3,0,26,20,8.66,27,96.29,0,0,1,3,0,-,-,-,-,-,-,-,-,-,-,-,1,0
AB Dinda,3,1,0,7,7,7,7,100,0,0,0,1,0,3,10,0,119,1,46023,119,11.9,60,0,0,0,0
F du Plessis,2,1,0,8,8,8,7,114.28,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,0,0
