Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
SR Watson,7,7,1,255,90*,42.5,168,151.78,0,2,0,26,14,7,23,1,161,6,43497,26.83,7,23,0,0,2,0
A Chandila,4,1,1,0,0*,-,1,0,0,0,0,0,0,4,14,0,86,5,41365,17.2,6.14,16.8,1,0,3,0
AM Rahane,16,16,2,560,103*,40,433,129.33,1,3,2,73,10,-,-,-,-,-,-,-,-,-,-,-,11,0
SW Tait,6,-,-,-,-,-,-,-,-,-,-,-,-,6,22.5,0,151,6,41334,25.16,6.61,22.8,0,0,1,0
OA Shah,13,13,4,340,76,37.77,256,132.81,0,3,0,24,16,-,-,-,-,-,-,-,-,-,-,-,5,0
AL Menaria,15,12,1,220,40,20,202,108.91,0,0,1,14,8,3,3.2,0,23,1,43891,23,6.9,20,0,0,2,0
BJ Hodge,12,12,4,245,48*,30.62,175,140,0,0,0,18,9,2,2,0,21,1,41275,21,10.5,12,0,0,7,0
R Dravid,16,16,0,462,58,28.87,412,112.13,0,2,0,63,4,-,-,-,-,-,-,-,-,-,-,-,5,0
GB Hogg,9,3,1,15,13,7.5,16,93.75,0,0,0,1,0,9,36,0,253,10,11355,25.3,7.02,21.6,0,0,1,0
DH Yagnik,5,3,2,25,10*,25,13,192.3,0,0,0,5,0,-,-,-,-,-,-,-,-,-,-,-,2,0
J Botha,11,7,3,58,14*,14.5,54,107.4,0,0,0,4,1,11,41,0,297,9,44228,33,7.24,27.3,0,0,3,0
STR Binny,8,6,2,90,30,22.5,67,134.32,0,0,1,9,3,6,10,0,78,3,44044,26,7.8,20,0,0,1,0
KK Cooper,6,4,2,38,14,19,20,190,0,0,0,3,3,6,24,1,174,10,46113,17.4,7.25,14.4,1,0,2,0
SK Trivedi,14,1,1,5,5*,-,6,83.33,0,0,0,0,0,14,52,1,380,13,45748,29.23,7.3,24,1,0,4,0
Pankaj Singh,6,-,-,-,-,-,-,-,-,-,-,-,-,6,21,0,170,7,43132,24.28,8.09,18,0,0,0,0
SP Goswami,11,6,1,69,24,13.8,67,102.98,0,0,1,4,1,-,-,-,-,-,-,-,-,-,-,-,4,4
AA Chavan,8,2,1,11,7*,11,8,137.5,0,0,0,2,0,8,27.2,0,236,7,44958,33.71,8.63,23.4,0,0,2,0
A Singh,9,1,0,0,0,0,3,0,0,0,1,0,0,9,32.5,0,310,10,47150,31,9.44,19.7,0,0,1,0
