Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
KS Williamson,17,17,3,735,84,52.5,516,142.44,0,8,1,63,28,-,-,-,-,-,-,-,-,-,-,-,6,0
Rashid Khan,17,7,2,59,34*,11.8,31,190.32,0,0,2,3,6,17,68,2,458,21,43525,21.8,6.73,19.4,0,0,6,0
S Dhawan,16,16,3,497,92*,38.23,363,136.91,0,4,1,59,14,-,-,-,-,-,-,-,-,-,-,-,12,0
YK Pathan,15,13,4,260,45*,28.88,200,130,0,0,0,22,11,1,2,0,14,1,41640,14,7,12,0,0,3,0
Sandeep Sharma,12,3,1,0,0*,0,4,0,0,0,2,0,0,12,44,0,333,12,42767,27.75,7.56,22,0,0,2,0
MK Pandey,15,13,2,284,62*,25.81,246,115.44,0,3,1,22,5,-,-,-,-,-,-,-,-,-,-,-,9,0
B Kumar,12,4,2,13,7,6.5,16,81.25,0,0,1,1,0,12,46.1,1,354,9,46082,39.33,7.66,30.7,0,0,2,0
CR Brathwaite,4,4,1,75,43*,25,48,156.25,0,0,0,1,8,4,10.1,0,94,5,42036,18.8,9.24,12.2,0,0,2,0
CJ Jordan,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,31,0,-,-,7.75,-,0,0,0,0
AD Hales,6,6,0,148,45,24.66,118,125.42,0,0,0,13,6,-,-,-,-,-,-,-,-,-,-,-,2,0
Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,0,26,5,17,57,0,456,14,43132,32.57,8,24.4,0,0,3,0
DJ Hooda,9,8,4,87,32*,21.75,81,107.4,0,0,0,2,3,2,3,0,24,0,-,-,8,-,0,0,3,0
B Stanlake,4,1,1,5,5*,-,2,250,0,0,0,1,0,4,16,0,130,5,44228,26,8.12,19.2,0,0,0,0
SP Goswami,6,3,0,52,35,17.33,40,130,0,0,0,6,1,-,-,-,-,-,-,-,-,-,-,-,5,0
S Kaul,17,4,1,3,2,1,14,21.42,0,0,1,0,0,17,66,0,547,21,44986,26.04,8.28,18.8,0,0,2,0
WP Saha,11,10,2,122,35,15.25,102,119.6,0,0,1,17,1,-,-,-,-,-,-,-,-,-,-,-,5,1
Mohammad Nabi,2,2,0,18,14,9,12,150,0,0,0,3,0,2,5,0,47,1,44927,47,9.4,30,0,0,0,0
Basil Thampi,4,2,1,3,3,3,6,50,0,0,0,0,0,4,10.1,0,114,5,43923,22.8,11.21,12.2,0,0,2,0
KK Ahmed,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,38,0,-,-,12.66,-,0,0,0,0
RK Bhui,1,1,0,0,0,0,5,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
