Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JA Morkel,4,3,2,86,73*,86,65,132.3,0,1,0,9,2
JP Duminy,14,13,3,414,78*,41.4,315,131.42,0,4,0,27,20
Q de Kock,3,3,0,122,69,40.66,77,158.44,0,2,0,18,4
SS Iyer,14,14,1,439,83,33.76,342,128.36,0,4,2,41,21
MK Tiwary,5,3,1,57,32,28.5,56,101.78,0,0,0,8,1
MA Agarwal,10,10,1,213,68,23.66,177,120.33,0,2,1,23,7
KM Jadhav,14,12,4,189,63*,23.62,140,135,0,1,1,16,7
AD Mathews,11,10,3,144,28,20.57,104,138.46,0,0,1,12,6
Yuvraj Singh,14,13,0,248,57,19.07,210,118.09,0,2,1,23,10
NM Coulter-Nile,11,5,1,20,6,5,18,111.11,0,0,0,2,1
Imran Tahir,10,2,1,5,3*,5,6,83.33,0,0,0,0,0
A Mishra,12,4,2,8,4,4,12,66.66,0,0,0,0,0
CM Gautam,1,1,0,4,4,4,5,80,0,0,0,0,0
S Nadeem,4,1,0,2,2,2,7,28.57,0,0,0,0,0
DJ Muthuswami,6,2,1,1,1,1,3,33.33,0,0,0,0,0
SS Tiwary,7,6,6,109,28*,-,78,139.74,0,0,0,9,5
