Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
J Suchith,13,6,5,48,34*,48,32,150,0,0,0,4,2
LMP Simmons,13,13,1,540,71,45,441,122.44,0,6,1,56,21
KA Pollard,16,14,3,419,70,38.09,256,163.67,0,2,0,28,28
CJ Anderson,4,4,1,114,55*,38,97,117.52,0,2,0,11,6
RG Sharma,16,16,2,482,98*,34.42,333,144.74,0,3,2,41,21
AT Rayudu,15,14,5,281,53*,31.22,193,145.59,0,1,2,18,16
PA Patel,14,14,1,339,59,26.07,246,137.8,0,2,2,47,5
HH Pandya,9,8,3,112,61*,22.4,62,180.64,0,1,2,9,8
UBT Chand,6,5,0,102,58,20.4,83,122.89,0,1,0,13,2
Harbhajan Singh,15,10,3,117,64,16.71,73,160.27,0,1,2,9,9
MJ McClenaghan,12,3,2,13,12*,13,6,216.66,0,0,1,0,2
AJ Finch,3,3,1,23,10*,11.5,33,69.69,0,0,0,4,0
AP Tare,2,2,0,14,7,7,17,82.35,0,0,0,1,0
R Vinay Kumar,13,3,2,0,0*,0,2,0,0,0,1,0,0
SL Malinga,15,1,1,6,6*,-,10,60,0,0,0,1,0
S Gopal,1,1,1,1,1*,-,1,100,0,0,0,0,0
JJ Bumrah,4,1,1,0,0*,-,0,-,0,0,0,0,0
