Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli,10,10,0,308,64,30.8,252,122.22,0,4,1,23,11
TM Head,7,7,2,151,75*,30.2,108,139.81,0,1,1,9,6
AB de Villiers,9,9,1,216,89*,27,163,132.51,0,1,0,12,16
A Choudhary,5,3,2,25,15*,25,20,125,0,0,0,1,1
KM Jadhav,13,13,1,267,69,22.25,186,143.54,0,1,0,25,10
CH Gayle,9,9,0,200,77,22.22,163,122.69,0,1,2,15,14
Mandeep Singh,11,10,0,188,52,18.8,177,106.21,0,1,2,21,4
P Negi,12,10,2,144,35,18,111,129.72,0,0,0,10,7
STR Binny,8,7,2,78,18*,15.6,76,102.63,0,0,0,6,3
SR Watson,8,7,1,71,24,11.83,78,91.02,0,0,0,6,1
S Aravind,10,8,4,32,9,8,40,80,0,0,2,2,0
Vishnu Vinod,3,3,0,19,9,6.33,26,73.07,0,0,0,1,1
Sachin Baby,3,3,0,15,12,5,15,100,0,0,0,2,0
YS Chahal,13,6,3,13,4*,4.33,26,50,0,0,1,0,0
AF Milne,4,3,1,7,5,3.5,12,58.33,0,0,0,0,0
TS Mills,5,3,0,8,6,2.66,11,72.72,0,0,1,0,1
S Badree,7,5,0,13,8,2.6,23,56.52,0,0,2,0,0
Iqbal Abdulla,2,1,1,5,5*,-,7,71.42,0,0,0,0,0
