1,,369,,,,,,,
,Andre Russell ,,,,,,,,
2,Hardik Pandya ,342,,,,,,,
3,Deepak Chahar ,274.5,,,,,,,
4,Imran Tahir ,255,,,,,,,
5,Quinton de Kock ,247.5,,,,,,,
6,Rashid Khan ,247.5,,,,,,,
7,Rishabh Pant ,247,,,,,,,
8,Jasprit Bumrah ,240.5,,,,,,,
9,Ravindra Jadeja ,234.5,,,,,,,
10,Chris Gayle ,231.5,,,,,,,
11,KL Rahul ,227.5,,,,,,,
12,Bhuvneshwar Kumar ,226,,,,,,,
13,David Warner ,221,,,,,,,
14,Kagiso Rabada ,219,,,,,,,
15,Shreyas Gopal ,213,,,,,,,
16,Shikhar Dhawan ,211,,,,,,,
17,Krunal Pandya ,211,,,,,,,
18,Jonny Bairstow ,210.5,,,,,,,
19,Sunil Narine ,205,,,,,,,
20,Axar Patel ,203,,,,,,,
21,Mohammed Shami ,198,,,,,,,
22,Jofra Archer ,191,,,,,,,
23,Shane Watson ,190,,,,,,,
24,Yuzvendra Chahal ,187.5,,,,,,,
25,Navdeep Saini ,187,,,,,,,
26,Moeen Ali ,186,,,,,,,
27,AB de Villiers ,183.5,,,,,,,
28,Harbhajan Singh ,183,,,,,,,
29,Rahul Chahar ,183,,,,,,,
30,Chris Lynn ,182,,,,,,,
31,Ravichandran Ashwin ,180.5,,,,,,,
32,Ishant Sharma ,176,,,,,,,
33,MS Dhoni ,175.5,,,,,,,
34,Rohit Sharma ,175,,,,,,,
35,Parthiv Patel ,175,,,,,,,
36,Nitish Rana ,174,,,,,,,
37,Virat Kohli ,173,,,,,,,
38,Faf du Plessis ,172.5,,,,,,,
39,Shreyas Iyer ,171.5,,,,,,,
40,Suryakumar Yadav ,170,,,,,,,
41,Jos Buttler ,164,,,,,,,
42,Suresh Raina ,162.5,,,,,,,
43,Ajinkya Rahane ,156.5,,,,,,,
44,Mohammad Nabi ,156.5,,,,,,,
45,Khaleel Ahmed ,153.5,,,,,,,
46,Piyush Chawla ,151.5,,,,,,,
47,Dwayne Bravo ,150.5,,,,,,,
48,Lasith Malinga ,149.5,,,,,,,
49,Prithvi Shaw ,149,,,,,,,
50,Sam Curran ,143,,,,,,,
51,Umesh Yadav ,137,,,,,,,
52,Chris Morris ,133,,,,,,,
53,Kieron Pollard ,132,,,,,,,
54,Mayank Agarwal ,131.5,,,,,,,
55,Amit Mishra ,129,,,,,,,
56,Sandeep Sharma ,129,,,,,,,
57,Sanju Samson ,128,,,,,,,
58,Manish Pandey ,123.5,,,,,,,
59,Dinesh Karthik ,121.5,,,,,,,
60,Robin Uthappa ,115,,,,,,,
61,Prasidh Krishna ,114,,,,,,,
62,Marcus Stoinis ,114,,,,,,,
63,Dhawal Kulkarni ,113,,,,,,,
64,Vijay Shankar ,112,,,,,,,
65,Shardul Thakur ,111.5,,,,,,,
66,Shubman Gill ,105,,,,,,,
67,Keemo Paul ,104,,,,,,,
68,Jaydev Unadkat ,103,,,,,,,
69,Mohammed Siraj ,98.5,,,,,,,
70,Riyan Parag ,97.5,,,,,,,
71,Steve Smith ,96.5,,,,,,,
72,Ben Stokes ,93.5,,,,,,,
73,Ambati Rayudu ,89.5,,,,,,,
74,David Miller ,89.5,,,,,,,
75,Murugan Ashwin ,84,,,,,,,
76,Sandeep Lamichhane ,80,,,,,,,
77,Siddarth Kaul ,79.5,,,,,,,
78,Kuldeep Yadav ,78,,,,,,,
79,Nicholas Pooran ,76.5,,,,,,,
80,Harry Gurney ,75.5,,,,,,,
81,Hardus Viljoen ,74,,,,,,,
