Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MS Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,0,22,23
F du Plessis,12,12,1,396,96,36,321,123.36,0,3,0,36,15
RA Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,0,7,4
M Vijay,2,2,0,64,38,32,61,104.91,0,0,0,6,1
MJ Santner,4,2,1,32,22,32,23,139.13,0,0,0,0,3
SK Raina,17,17,1,383,59,23.93,314,121.97,0,3,1,45,9
AT Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,2,20,7
SR Watson,17,17,0,398,96,23.41,312,127.56,0,3,3,42,20
KM Jadhav,14,12,3,162,58,18,169,95.85,0,1,1,19,3
DJ Bravo,12,9,4,80,27,16,66,121.21,0,0,0,6,3
SN Thakur,10,3,1,14,12*,7,7,200,0,0,1,1,1
DR Shorey,1,1,0,5,5,5,8,62.5,0,0,0,0,0
DL Chahar,17,2,0,7,7,3.5,9,77.77,0,0,1,1,0
Harbhajan Singh,11,1,0,1,1,1,3,33.33,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
