Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
A Mishra,14,6,5,49,13*,49,52,94.23,0,0,0,2,2
SS Iyer,12,12,2,338,96,33.8,243,139.09,0,2,0,36,10
CH Morris,9,9,4,154,52*,30.8,94,163.82,0,1,0,15,6
SV Samson,14,14,0,386,102,27.57,273,141.39,1,2,2,32,19
RR Pant,14,14,0,366,97,26.14,221,165.61,0,2,3,28,24
SW Billings,6,6,0,138,55,23,104,132.69,0,1,1,19,1
KK Nair,14,13,0,281,64,21.61,226,124.33,0,1,1,39,6
CJ Anderson,11,11,4,142,41*,20.28,123,115.44,0,0,1,8,9
K Rabada,6,3,0,55,44,18.33,64,85.93,0,0,1,5,1
AD Mathews,3,2,0,32,31,16,27,118.51,0,0,0,2,1
PJ Cummins,12,9,4,77,24,15.4,53,145.28,0,0,0,5,4
Mohammed Shami,8,6,2,36,21,9,24,150,0,0,0,4,2
MN Samuels,5,4,0,29,27,7.25,31,93.54,0,0,1,1,2
AP Tare,3,3,0,18,18,6,23,78.26,0,0,2,3,0
CR Brathwaite,2,2,0,12,11,6,15,80,0,0,0,2,0
Z Khan,11,3,2,4,2,4,13,30.76,0,0,0,0,0
S Nadeem,7,4,1,2,2,0.66,9,22.22,0,0,2,0,0
AR Bawne,1,1,1,12,12*,-,12,100,0,0,0,1,0
