Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SS Tiwary,1,1,0,52,52,52,43,120.93,0,1,0,9,0
HH Pandya,17,16,9,250,35*,35.71,160,156.25,0,0,0,11,20
KH Pandya,13,11,4,243,47,34.71,179,135.75,0,0,0,24,7
N Rana,13,12,1,333,62*,30.27,264,126.13,0,3,0,24,17
KA Pollard,17,16,3,385,70,29.61,276,139.49,0,3,0,26,22
JC Buttler,10,10,0,272,77,27.2,177,153.67,0,1,0,27,15
PA Patel,16,16,0,395,70,24.68,293,134.81,0,2,2,49,8
RG Sharma,17,16,2,333,67,23.78,273,121.97,0,3,1,31,9
LMP Simmons,7,7,0,137,66,19.57,112,122.32,0,2,1,10,8
AT Rayudu,5,5,0,91,63,18.2,78,116.66,0,1,1,7,3
JJ Bumrah,16,2,1,16,16*,16,12,133.33,0,0,1,0,1
KV Sharma,9,6,0,49,19,8.16,41,119.51,0,0,0,5,2
Harbhajan Singh,11,7,5,16,7*,8,16,100,0,0,1,0,1
TG Southee,3,1,0,7,7,7,3,233.33,0,0,0,0,1
MJ McClenaghan,14,7,3,16,12,4,15,106.66,0,0,2,0,1
MG Johnson,5,3,3,20,13*,-,17,117.64,0,0,0,1,1
SL Malinga,12,2,2,7,7*,-,3,233.33,0,0,0,0,1
