Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AB de Villiers,12,11,2,480,90*,53.33,275,174.54,0,6,0,39,30
V Kohli,14,14,3,530,92*,48.18,381,139.1,0,4,0,52,18
PA Patel,6,6,1,153,53,30.6,109,140.36,0,1,0,20,4
C de Grandhomme,9,8,3,131,40,26.2,84,155.95,0,0,0,4,10
TG Southee,8,4,2,52,36*,26,46,113.04,0,0,0,5,1
Mandeep Singh,14,13,3,252,47*,25.2,186,135.48,0,0,0,16,11
Q de Kock,8,8,0,201,53,25.12,162,124.07,0,1,0,20,8
Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,0,5,4
BB McCullum,6,6,0,127,43,21.16,88,144.31,0,0,1,16,6
MM Ali,5,4,0,77,65,19.25,46,167.39,0,1,0,4,6
M Vohra,4,4,0,55,45,13.75,47,117.02,0,0,1,2,4
Mohammed Siraj,11,4,2,25,14,12.5,22,113.63,0,0,0,2,1
SN Khan,7,6,1,51,22*,10.2,41,124.39,0,0,1,7,1
CR Woakes,5,4,2,17,11,8.5,19,89.47,0,0,0,1,1
CJ Anderson,3,3,0,17,15,5.66,22,77.27,0,0,1,0,1
P Negi,2,2,0,3,3,1.5,5,60,0,0,1,0,0
M Ashwin,2,1,0,1,1,1,2,50,0,0,0,0,0
UT Yadav,14,5,1,3,1*,0.75,11,27.27,0,0,2,0,0
