Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SPD Smith,12,10,2,319,73*,39.87,275,116,0,3,0,30,4
JC Buttler,8,8,0,311,89,38.87,205,151.7,0,3,0,38,14
SV Samson,12,12,2,342,102*,34.2,230,148.69,1,0,1,28,13
JC Archer,11,5,3,67,27*,33.5,40,167.5,0,0,0,4,4
AM Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,1,45,9
R Parag,7,5,0,160,50,32,126,126.98,0,1,0,17,5
RA Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,0,13,2
STR Binny,8,5,2,70,33*,23.33,40,175,0,0,1,5,4
LS Livingstone,4,4,1,70,44,23.33,48,145.83,0,0,0,6,5
BA Stokes,9,9,3,123,46,20.5,99,124.24,0,0,1,8,4
S Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,2,8,1
MK Lomror,2,1,0,8,8,8,3,266.66,0,0,0,2,0
K Gowtham,7,4,1,18,9,6,19,94.73,0,0,0,1,1
IS Sodhi,2,1,0,6,6,6,11,54.54,0,0,0,0,0
AJ Turner,4,4,1,3,3*,1,10,30,0,0,3,0,0
JD Unadkat,11,4,3,1,1,1,3,33.33,0,0,0,0,0
DS Kulkarni,10,1,1,5,5*,-,3,166.66,0,0,0,1,0
VR Aaron,5,1,1,3,3*,-,7,42.85,0,0,0,0,0
