Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
SL Malinga,15,15,60,3,444,24,Apr-23,18.5,7.4,15,1,0,2,0
M de Lange,1,1,4,1,30,0,-,-,7.5,-,0,0,0,0
Harbhajan Singh,15,15,57,1,446,18,Mar-27,24.77,7.82,19,0,0,3,0
MJ McClenaghan,12,12,47,0,386,18,Mar-16,21.44,8.21,15.6,0,0,0,0
CJ Anderson,4,2,4,0,33,1,Jan-21,33,8.25,24,0,0,1,0
R Vinay Kumar,13,13,43.3,0,368,7,Feb-26,52.57,8.45,37.2,0,0,6,0
J Suchith,13,12,39,0,337,10,Feb-14,33.7,8.64,23.4,0,0,8,0
KA Pollard,16,8,12.4,0,120,3,01-Jun,40,9.47,25.3,0,0,9,0
P Suyal,3,3,10,0,95,0,-,-,9.5,-,0,0,0,0
HH Pandya,9,8,17,0,176,1,Jan-13,176,10.35,102,0,0,6,0
S Gopal,1,1,2.1,0,23,1,Jan-23,23,10.61,13,0,0,0,0
PP Ojha,1,1,2,0,23,0,-,-,11.5,-,0,0,0,0
JJ Bumrah,4,4,15,0,184,3,Jan-38,61.33,12.26,30,0,0,0,0
UBT Chand,6,-,-,-,-,-,-,-,-,-,-,-,3,0
AJ Finch,3,-,-,-,-,-,-,-,-,-,-,-,0,0
PA Patel,14,-,-,-,-,-,-,-,-,-,-,-,7,3
AT Rayudu,15,-,-,-,-,-,-,-,-,-,-,-,9,0
RG Sharma,16,-,-,-,-,-,-,-,-,-,-,-,5,0
LMP Simmons,13,-,-,-,-,-,-,-,-,-,-,-,6,0
AP Tare,2,-,-,-,-,-,-,-,-,-,-,-,1,0
