Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
S Nadeem,7,7,17.5,0,119,6,2/13,19.83,6.67,17.8,0,0,2,0
J Yadav,2,2,6,0,42,0,-,-,7,-,0,0,0,0
CH Morris,9,9,31,0,240,12,4/26,20,7.74,15.5,1,0,5,0
Z Khan,11,11,40.1,0,313,10,3/20,31.3,7.79,24.1,0,0,4,0
PJ Cummins,12,12,46.1,0,373,15,2/20,24.86,8.07,18.4,0,0,1,0
K Rabada,6,6,21.2,0,188,6,2/20,31.33,8.81,21.3,0,0,0,0
A Mishra,14,14,38.5,1,343,10,3/11,34.3,8.83,23.3,0,0,3,0
Mohammed Shami,8,8,26,0,243,5,2/36,48.6,9.34,31.2,0,0,0,0
CJ Anderson,11,8,18.5,0,186,3,1/23,62,9.87,37.6,0,0,5,0
CR Brathwaite,2,2,6,0,67,1,1/38,67,11.16,36,0,0,0,0
AD Mathews,3,2,5,0,56,0,-,-,11.2,-,0,0,2,0
MN Samuels,5,2,3,0,34,0,-,-,11.33,-,0,0,1,0
AR Bawne,1,-,-,-,-,-,-,-,-,-,-,-,0,0
SW Billings,6,-,-,-,-,-,-,-,-,-,-,-,4,0
SS Iyer,12,-,-,-,-,-,-,-,-,-,-,-,3,0
KK Nair,14,-,-,-,-,-,-,-,-,-,-,-,2,0
RR Pant,14,-,-,-,-,-,-,-,-,-,-,-,8,3
SV Samson,14,-,-,-,-,-,-,-,-,-,-,-,4,0
AP Tare,3,-,-,-,-,-,-,-,-,-,-,-,0,0
