Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
Avesh Khan,1,1,4,0,23,1,Jan-23,23,5.75,24,0,0,0,0
P Negi,12,12,32.1,0,197,16,03-Oct,12.31,6.12,12,0,0,3,0
S Badree,7,7,25,1,188,9,04-Sep,20.88,7.52,16.6,1,0,2,0
YS Chahal,13,13,43.3,0,333,14,Mar-16,23.78,7.65,18.6,0,0,3,0
STR Binny,8,4,6,0,50,4,01-Sep,12.5,8.33,9,0,0,1,0
A Choudhary,5,5,16.5,2,144,5,Feb-17,28.8,8.55,20.2,0,0,0,0
TS Mills,5,5,17.5,0,153,5,Feb-31,30.6,8.57,21.4,0,0,1,0
B Stanlake,2,2,8,0,70,2,Feb-29,35,8.75,24,0,0,1,0
S Aravind,10,10,30.3,0,275,5,Feb-29,55,9.01,36.6,0,0,1,0
SR Watson,8,8,26.5,0,245,5,Jan-16,49,9.13,32.2,0,0,2,0
AF Milne,4,4,14,0,134,3,Feb-27,44.66,9.57,28,0,0,4,0
TM Head,7,5,8,0,81,2,Feb-30,40.5,10.12,24,0,0,3,0
HV Patel,1,1,4,0,43,3,Mar-43,14.33,10.75,8,0,0,0,0
Iqbal Abdulla,2,2,5,0,55,2,Feb-36,27.5,11,15,0,0,0,0
AB de Villiers,9,-,-,-,-,-,-,-,-,-,-,-,6,0
CH Gayle,9,-,-,-,-,-,-,-,-,-,-,-,2,0
KM Jadhav,13,-,-,-,-,-,-,-,-,-,-,-,7,3
V Kohli,10,-,-,-,-,-,-,-,-,-,-,-,5,0
Mandeep Singh,11,-,-,-,-,-,-,-,-,-,-,-,6,0
Sachin Baby,3,-,-,-,-,-,-,-,-,-,-,-,2,0
Vishnu Vinod,3,-,-,-,-,-,-,-,-,-,-,-,0,2
