Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
N Rana,15,5,6.1,0,44,4,2/11,11,7.13,9.2,0,0,2,0
SP Narine,16,16,61,0,467,17,3/18,27.47,7.65,21.5,0,0,1,0
Kuldeep Yadav,16,16,51.2,0,418,17,4/20,24.58,8.14,18.1,1,0,6,0
PP Chawla,15,15,49,0,412,14,3/48,29.42,8.4,21,0,0,4,0
M Prasidh Krishna,7,7,28,0,260,10,4/30,26,9.28,16.8,1,0,1,0
AD Russell,16,15,37.5,0,355,13,3/31,27.3,9.38,17.4,0,0,8,0
Shivam Mavi,9,9,28,0,270,5,1/14,54,9.64,33.6,0,0,3,0
MG Johnson,6,6,21,0,216,2,1/30,108,10.28,63,0,0,2,0
TK Curran,5,5,10.1,0,118,6,2/19,19.66,11.6,10.1,0,0,1,0
JPR Scantlebury-Searles,4,3,7,0,89,2,1/24,44.5,12.71,21,0,0,4,0
R Vinay Kumar,2,2,3.5,0,65,2,2/30,32.5,16.95,11.5,0,0,2,0
KD Karthik,16,-,-,-,-,-,-,-,-,-,-,-,14,4
CA Lynn,16,-,-,-,-,-,-,-,-,-,-,-,3,0
Shubman Gill,13,-,-,-,-,-,-,-,-,-,-,-,3,0
RK Singh,4,-,-,-,-,-,-,-,-,-,-,-,4,0
RV Uthappa,16,-,-,-,-,-,-,-,-,-,-,-,5,0
