ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL
1,2017,Hyderabad,SRH,SRH,1,RCB,0,RCB,field,normal,SRH,35,0,1,0,1
2,2017,Pune,RPS,RPS,1,MI,0,RPS,field,normal,RPS,0,1,1,0,1
3,2017,Rajkot,GL,KKR,1,GL,0,KKR,field,normal,KKR,0,1,1,0,0
4,2017,Indore,Indore,KXIP,1,RPS,0,KXIP,field,normal,KXIP,0,1,1,0,2
5,2017,Bangalore,RCB,RCB,1,DD,0,RCB,bat,normal,RCB,15,1,1,1,1
6,2017,Hyderabad,SRH,SRH,1,GL,0,SRH,field,normal,SRH,0,1,1,0,1
7,2017,Mumbai,MI,MI,1,KKR,0,MI,field,normal,MI,0,1,1,0,1
8,2017,Indore,Indore,KXIP,1,RCB,0,RCB,bat,normal,KXIP,0,0,1,1,2
9,2017,Pune,RPS,DD,1,RPS,0,RPS,field,normal,DD,97,0,1,0,0
10,2017,Mumbai,MI,MI,1,SRH,0,MI,field,normal,MI,0,1,1,0,1
11,2017,Kolkata,KKR,KKR,1,KXIP,0,KKR,field,normal,KKR,0,1,1,0,1
12,2017,Bangalore,RCB,MI,1,RCB,0,MI,field,normal,MI,0,1,1,0,0
13,2017,Rajkot,GL,GL,1,RPS,0,GL,field,normal,GL,0,1,1,0,1
14,2017,Kolkata,KKR,KKR,1,SRH,0,SRH,field,normal,KKR,17,0,1,0,1
15,2017,Delhi,DD,DD,1,KXIP,0,DD,bat,normal,DD,51,1,1,1,1
16,2017,Mumbai,MI,MI,1,GL,0,MI,field,normal,MI,0,1,1,0,1
17,2017,Bangalore,RCB,RPS,1,RCB,0,RCB,field,normal,RPS,27,0,1,0,0
18,2017,Delhi,DD,KKR,1,DD,0,DD,bat,normal,KKR,0,0,1,1,0
19,2017,Hyderabad,SRH,SRH,1,KXIP,0,KXIP,field,normal,SRH,5,0,1,0,1
20,2017,Rajkot,GL,RCB,1,GL,0,GL,field,normal,RCB,21,0,1,0,0
21,2017,Hyderabad,SRH,SRH,1,DD,0,SRH,bat,normal,SRH,15,1,1,1,1
22,2017,Indore,Indore,MI,1,KXIP,0,MI,field,normal,MI,0,1,1,0,2
23,2017,Kolkata,KKR,GL,1,KKR,0,GL,field,normal,GL,0,1,1,0,0
24,2017,Mumbai,MI,MI,1,DD,0,DD,field,normal,MI,14,0,1,0,1
25,2017,Pune,RPS,RPS,1,SRH,0,RPS,field,normal,RPS,0,1,1,0,1
26,2017,Rajkot,GL,KXIP,1,GL,0,GL,field,normal,KXIP,26,0,1,0,0
27,2017,Kolkata,KKR,KKR,1,RCB,0,RCB,field,normal,KKR,82,0,1,0,1
28,2017,Mumbai,MI,RPS,1,MI,0,MI,field,normal,RPS,3,0,1,0,0
29,2017,Pune,RPS,KKR,1,RPS,0,KKR,field,normal,KKR,0,1,1,0,0
30,2017,Bangalore,RCB,GL,1,RCB,0,GL,field,normal,GL,0,1,1,0,0
31,2017,Kolkata,KKR,KKR,1,DD,0,KKR,field,normal,KKR,0,1,1,0,1
32,2017,Chandigarh,KXIP,SRH,1,KXIP,0,KXIP,field,normal,SRH,26,0,1,0,0
33,2017,Pune,RPS,RPS,1,RCB,0,RCB,field,normal,RPS,61,0,1,0,1
34,2017,Rajkot,GL,MI,1,GL,0,GL,bat,tie,MI,0,0,1,1,0
35,2017,Chandigarh,KXIP,KXIP,1,DD,0,KXIP,field,normal,KXIP,0,1,1,0,1
36,2017,Hyderabad,SRH,SRH,1,KKR,0,KKR,field,normal,SRH,48,0,1,0,1
37,2017,Mumbai,MI,MI,1,RCB,0,RCB,bat,normal,MI,0,0,1,1,1
38,2017,Pune,RPS,RPS,1,GL,0,RPS,field,normal,RPS,0,1,1,0,1
39,2017,Delhi,DD,DD,1,SRH,0,DD,field,normal,DD,0,1,1,0,1
40,2017,Kolkata,KKR,RPS,1,KKR,0,RPS,field,normal,RPS,0,1,1,0,0
41,2017,Delhi,DD,DD,1,GL,0,DD,field,normal,DD,0,1,1,0,1
42,2017,Bangalore,RCB,KXIP,1,RCB,0,RCB,field,normal,KXIP,19,0,1,0,0
43,2017,Hyderabad,SRH,RPS,1,SRH,0,SRH,field,normal,RPS,12,0,1,0,0
44,2017,Delhi,DD,MI,1,DD,0,DD,field,normal,MI,146,0,1,0,0
45,2017,Bangalore,RCB,KKR,1,RCB,0,KKR,field,normal,KKR,0,1,1,0,0
46,2017,Chandigarh,KXIP,GL,1,KXIP,0,GL,field,normal,GL,0,1,1,0,0
47,2017,Hyderabad,SRH,SRH,1,MI,0,MI,bat,normal,SRH,0,0,1,1,1
48,2017,Chandigarh,KXIP,KXIP,1,KKR,0,KKR,field,normal,KXIP,14,0,1,0,1
49,2017,Kanpur,Kanpur,DD,1,GL,0,DD,field,normal,DD,0,1,1,0,2
