Player,Matches,Batting Innings,Not out,Runs,High Score,Batting Average,Balls Faced,Batting SR,100's,50's,0's,4s,6s,Bowling Innings,Overs,Maidens,Bowling Runs,Wickets,Bowling Average,Bowling Economy,Bowling SR,4W Haul,5W Haul,Catches,Stumpings,Year,Team,Strength
V Kohli,16,16,4,973,113,81.08,640,152.03,4,7,1,83,38,1,1.0,0,13,0,0.0,13.0,0.0,0,0,6,0,2016,rcb,1292
DA Warner,17,17,3,848,93*,60.57,560,151.42,0,9,1,88,31,0,0.0,0,0,0,0.0,0.0,0.0,0,0,4,0,2016,srh,1106
JH Kallis,16,16,4,572,89*,47.66,494,115.78,0,6,1,67,9,16,57.0,1,476,13,36.61,8.35,26.3,0,0,7,0,2010,rcb,1092
DJ Bravo,18,12,4,121,23*,15.12,106,114.15,0,0,0,11,3,18,62.3,0,497,32,15.53,7.95,11.7,1,0,14,0,2013,csk,1058
SR Watson,16,16,2,543,101,38.78,380,142.89,1,2,0,59,22,13,41.4,0,298,13,22.92,7.15,19.2,0,0,6,0,2013,rr,1051
AB de Villiers,16,16,3,687,129*,52.84,407,168.79,1,6,1,57,37,0,0.0,0,0,0,0.0,0.0,0.0,0,0,19,0,2016,rcb,1038
SR Watson,15,15,5,472,76*,47.2,311,151.76,0,4,1,47,19,15,54.1,0,383,17,22.52,7.07,19.1,0,0,2,0,2008,rr,1028
CH Gayle,12,12,3,608,107,67.55,332,183.13,2,3,2,56,44,12,36.0,0,244,8,30.5,6.77,27.0,0,0,2,0,2011,rcb,1020
CH Gayle,16,16,4,708,175*,59.0,453,156.29,1,4,0,57,51,4,4.0,0,40,3,13.33,10.0,8.0,0,0,3,0,2013,rcb,1010
DJ Bravo,17,14,5,195,62*,21.66,148,131.75,0,1,1,22,5,16,52.2,0,426,26,16.38,8.14,12.0,0,0,13,0,2015,csk,987
MEK Hussey,17,17,3,733,95,52.35,566,129.5,0,6,0,81,17,0,0.0,0,0,0,0.0,0.0,0.0,0,0,10,0,2013,csk,982
AD Russell,14,13,4,510,80*,56.66,249,204.81,0,4,1,31,52,12,30.1,0,287,11,26.09,9.51,16.4,0,0,4,0,2019,kkr,980
CH Gayle,15,14,2,733,128*,61.08,456,160.74,1,7,0,46,59,3,4.4,0,66,0,0.0,14.14,0.0,0,0,2,0,2012,rcb,979
KS Williamson,17,17,3,735,84,52.5,516,142.44,0,8,1,63,28,0,0.0,0,0,0,0.0,0.0,0.0,0,0,6,0,2018,srh,970
RR Pant,14,14,1,684,128*,52.61,394,173.6,1,5,1,68,37,0,0.0,0,0,0,0.0,0.0,0.0,0,0,4,2,2018,dd,942
KL Rahul,14,14,2,659,95*,54.91,416,158.41,0,6,0,66,32,0,0.0,0,0,0,0.0,0.0,0.0,0,0,10,1,2018,kxip,935
HH Pandya,16,15,6,402,91,44.66,210,191.42,0,1,1,28,29,16,42.3,0,390,14,27.85,9.17,18.2,0,0,11,0,2019,mi,930
A Symonds,16,16,2,429,54,30.64,341,125.8,0,4,0,35,18,16,53.0,0,372,12,31.0,7.01,26.5,0,0,12,0,2010,dc,928
RV Uthappa,16,16,1,660,83,44.0,479,137.78,0,5,1,74,18,0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,7,2014,kkr,906
DA Warner,12,12,2,692,100*,69.2,481,143.86,1,8,0,57,21,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,0,2019,srh,893
SP Narine,16,16,0,357,75,22.31,188,189.89,0,2,0,40,23,16,61.0,0,467,17,27.47,7.65,21.5,0,0,1,0,2018,kkr,892
DA Warner,14,14,3,641,126,58.27,452,141.81,1,4,0,63,26,0,0.0,0,0,0,0.0,0.0,0.0,0,0,10,0,2017,srh,890
SR Watson,15,15,1,555,117*,39.64,359,154.59,2,2,1,44,35,11,28.0,0,251,6,41.83,8.96,28.0,0,0,3,0,2018,csk,889
DJ Bravo,19,16,8,371,48,46.37,264,140.53,0,0,0,20,20,18,57.4,0,462,15,30.8,8.01,23.0,0,0,9,0,2012,csk,878
KA Pollard,18,18,8,420,66*,42.0,281,149.46,0,3,0,27,29,14,31.0,0,292,10,29.2,9.41,18.6,0,0,12,0,2013,mi,873
SK Raina,16,16,5,520,83*,47.27,364,142.85,0,4,0,45,22,12,23.5,0,178,6,29.66,7.46,23.8,0,0,10,0,2010,csk,871
JH Kallis,17,17,1,409,79,25.56,384,106.51,0,2,1,34,10,16,54.0,0,403,15,26.86,7.46,21.6,0,0,2,0,2012,kkr,868
DR Smith,16,16,0,566,79,35.37,416,136.05,0,5,0,50,34,5,10.0,0,95,4,23.75,9.5,15.0,0,0,5,0,2014,csk,862
V Kohli,16,16,2,634,99,45.28,457,138.73,0,6,0,64,22,0,0.0,0,0,0,0.0,0.0,0.0,0,0,7,0,2013,rcb,852
JP Faulkner,16,9,4,57,19*,11.4,57,100.0,0,0,0,5,2,16,63.1,2,427,28,15.25,6.75,13.5,0,2,3,0,2013,rr,838
RR Pant,16,16,3,488,78*,37.53,300,162.66,0,3,0,37,27,0,0.0,0,0,0,0.0,0.0,0.0,0,0,18,6,2019,dd,825
HH Pandya,13,13,4,260,50,28.88,195,133.33,0,1,0,20,11,13,42.4,0,381,18,21.16,8.92,14.2,0,0,8,0,2018,mi,824
AD Russell,13,11,2,326,66,36.22,169,192.89,0,3,0,35,19,13,40.4,0,324,14,23.14,7.96,17.4,0,0,6,0,2015,kkr,821
Q de Kock,16,16,1,529,81,35.26,398,132.91,0,4,1,45,25,0,0.0,0,0,0,0.0,0.0,0.0,0,0,17,2,2019,mi,820
KL Rahul,14,14,3,593,100*,53.9,438,135.38,1,6,0,49,25,0,0.0,0,0,0,0.0,0.0,0.0,0,0,7,0,2019,kxip,818
S Dhawan,15,15,1,569,84,40.64,439,129.61,0,5,0,58,18,4,6.0,0,55,3,18.33,9.16,12.0,0,0,5,0,2012,dc,816
SE Marsh,11,11,2,616,115,68.44,441,139.68,1,5,0,59,26,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,0,2008,kxip,813
AC Gilchrist,16,16,0,495,85,30.93,325,152.3,0,3,2,54,29,0,0.0,0,0,0,0.0,0.0,0.0,0,0,10,8,2009,dc,809
Harbhajan Singh,19,14,8,116,25*,19.33,79,146.83,0,0,2,12,5,19,70.0,0,456,24,19.0,6.51,17.5,0,0,9,0,2013,mi,806
DA Warner,14,14,1,562,91,43.23,359,156.54,0,7,0,65,21,0,0.0,0,0,0,0.0,0.0,0.0,0,0,8,0,2015,srh,795
GJ Maxwell,16,16,0,552,95,34.5,294,187.75,0,4,2,48,36,7,11.0,0,132,1,132.0,12.0,66.0,0,0,9,0,2014,kxip,791
ST Jayasuriya,14,14,2,514,114*,42.83,309,166.34,1,2,0,57,31,8,21.0,1,159,4,39.75,7.57,31.5,0,0,2,0,2008,mi,789
PC Valthaty,14,14,1,463,120*,35.61,338,136.98,1,2,0,55,20,9,24.1,0,189,7,27.0,7.82,20.7,1,0,2,0,2011,kxip,789
NLTC Perera,16,14,4,233,40,23.3,163,142.94,0,0,0,12,14,16,59.4,0,478,19,25.15,8.01,18.8,0,0,5,0,2013,srh,788
AD Russell,16,14,3,316,88*,28.72,171,184.79,0,1,1,17,31,15,37.5,0,355,13,27.3,9.38,17.4,0,0,8,0,2018,kkr,788
JP Duminy,14,13,3,414,78*,41.4,315,131.42,0,4,0,27,20,9,17.0,0,126,8,15.75,7.41,12.7,1,0,8,0,2015,dd,785
YK Pathan,16,15,1,435,68,31.07,243,179.01,0,4,0,43,25,13,28.1,0,230,8,28.75,8.16,21.1,0,0,3,0,2008,rr,784
AT Rayudu,16,16,2,602,100*,43.0,402,149.75,1,3,1,53,34,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,0,2018,csk,783
AM Rahane,16,16,2,560,103*,40.0,433,129.33,1,3,2,73,10,0,0.0,0,0,0,0.0,0.0,0.0,0,0,11,0,2012,rr,783
V Kohli,16,16,4,557,71,46.41,460,121.08,0,4,0,55,16,10,17.0,0,139,2,69.5,8.17,51.0,0,0,7,0,2011,rcb,782
JH Kallis,16,16,1,311,41,20.73,322,96.58,0,0,2,35,3,15,53.0,1,394,16,24.62,7.43,19.8,0,0,3,0,2013,kkr,780
