Team,Year,Team Yearly Score
csk,2008,260.9975198
csk,2009,336.6285714
csk,2010,299.735119
csk,2011,285.125
csk,2012,303.7518797
csk,2013,298.1283069
csk,2014,373.4553571
csk,2015,327.1176471
csk,2018,275.3011364
csk,2019,322.7647059
srh,2008,251.8548469
srh,2009,234.5125
srh,2010,323.05
srh,2011,260.7
srh,2012,290.7333333
dd,2008,305.1106061
dd,2009,296.6
dd,2010,345.6142857
dd,2011,264.0255102
dd,2012,243.1888889
dd,2013,292.35
dd,2014,267.2845238
dd,2015,247.3797619
dd,2016,338.8571429
dd,2017,272.3392857
dd,2018,317.25
dd,2019,299.56875
gl,2016,315.3236607
gl,2017,343.0034014
kkr,2008,224.5290543
kkr,2009,303.1287046
kkr,2010,223.2428571
kkr,2011,244.145
kkr,2012,281.9705882
kkr,2013,313.1875
kkr,2014,348.4162946
kkr,2015,388.7692308
kkr,2016,287.1166667
kkr,2017,256.15625
kkr,2018,268.7366071
kkr,2019,406.8571429
ktk,2011,223.5324675
kxip,2008,233.5653872
kxip,2009,282.9642857
kxip,2010,282.3730159
kxip,2011,214.6666667
kxip,2012,312.6354167
kxip,2013,289.2425595
kxip,2014,255.8627451
kxip,2015,410
kxip,2016,299.4642857
kxip,2017,244.2142857
kxip,2018,313.6047619
kxip,2019,342.1428571
mi,2008,336.7994228
mi,2009,331.6517094
mi,2010,299.04375
mi,2011,348.375
mi,2012,333.2401961
mi,2013,261.6065163
mi,2014,394.8266667
mi,2015,309.625
mi,2016,418.3392857
mi,2017,265.6601307
mi,2018,334.6607143
mi,2019,352.7638889
rps,2011,290.0941043
rps,2012,228.6493056
rps,2013,220.6335227
rcb,2008,281.7181509
rcb,2009,227.4338542
rcb,2010,262.3125
rcb,2011,192.3583333
rcb,2012,309.625
rcb,2013,335.7693452
rcb,2014,375.8469388
rcb,2015,249.259375
rcb,2016,329.1875
rcb,2017,399.4615385
rcb,2018,337.4404762
rcb,2019,286.3714286
rps,2016,310.1719955
rps,2017,249.546875
rr,2008,251.3936012
rr,2009,331.6461538
rr,2010,266.3524531
rr,2011,242.011655
rr,2012,227.7604167
rr,2013,256.9428571
rr,2014,418.5384615
rr,2015,310.3690476
rr,2018,307.76
rr,2019,350.5714286
srh,2013,248.920098
srh,2014,384.3571429
srh,2015,300.1107143
srh,2016,276.5294118
srh,2017,398.8571429
srh,2018,276.7352941
srh,2019,384.8666667
