Year,Team,,Player,Strength,Team
2008,CSK,3,M Muralitharan,299.0,CSK
2008,CSK,8,L Balaji,291.0,CSK
2008,CSK,1,M Ntini,108.0,CSK
2008,CSK,5,MS Gony,101.6,CSK
2008,CSK,12,Joginder Sharma,78.33333333333333,CSK
2008,CSK,0,MEK Hussey,78.0,CSK
2008,CSK,7,JA Morkel,75.2,CSK
2008,CSK,2,ML Hayden,60.25,CSK
2008,CSK,6,SK Raina,44.07142857142857,CSK
2008,CSK,4,MS Dhoni,39.0,CSK
2008,CSK,10,JDP Oram,37.333333333333336,CSK
2008,DC,182,A Symonds,72.0,DC
2008,DC,188,PP Ojha,68.25,DC
2008,DC,190,DP Vijaykumar,50.5,DC
2008,DC,195,RP Singh,50.44444444444444,DC
2008,DC,183,RG Sharma,49.916666666666664,DC
2008,DC,187,AC Gilchrist,44.642857142857146,DC
2008,DC,200,D Kalyankrishna,43.0,DC
2008,DC,186,Shahid Afridi,39.44444444444444,DC
2008,DC,185,Y Venugopal Rao,39.2,DC
2008,DC,193,WPUJC Vaas,36.0,DC
2008,DC,189,VVS Laxman,32.166666666666664,DC
2008,DD,288,GD McGrath,114.33333333333333,DD
2008,DD,292,A Mishra,110.33333333333333,DD
2008,DD,299,Mohammad Asif,90.5,DD
2008,DD,297,VY Mahesh,88.6,DD
2008,DD,294,MF Maharoof,68.25,DD
2008,DD,295,R Bhatia,66.0,DD
2008,DD,298,PJ Sangwan,60.5,DD
2008,DD,285,G Gambhir,48.142857142857146,DD
2008,DD,289,V Sehwag,40.785714285714285,DD
2008,DD,287,S Dhawan,34.642857142857146,DD
2008,DD,293,KD Karthik,30.75,DD
2008,KKR,583,Shoaib Akhtar,129.0,KKR
2008,KKR,586,Umar Gul,91.5,KKR
2008,KKR,577,AB Dinda,72.33333333333333,KKR
2008,KKR,573,BB McCullum,63.75,KKR
2008,KKR,576,SC Ganguly,48.15384615384615,KKR
2008,KKR,588,M Kartik,46.666666666666664,KKR
2008,KKR,587,AB Agarkar,45.166666666666664,KKR
2008,KKR,580,Salman Butt,35.857142857142854,KKR
2008,KKR,585,I Sharma,35.166666666666664,KKR
2008,KKR,578,DJ Hussey,34.92307692307692,KKR
2008,KKR,575,WP Saha,28.1,KKR
2008,KXIP,836,S Sreesanth,157.0,KXIP
2008,KXIP,838,VRV Singh,143.0,KXIP
2008,KXIP,832,RR Powar,125.0,KXIP
2008,KXIP,834,PP Chawla,82.14285714285714,KXIP
2008,KXIP,831,SE Marsh,73.36363636363636,KXIP
2008,KXIP,829,SM Katich,59.5,KXIP
2008,KXIP,828,IK Pathan,57.5,KXIP
2008,KXIP,833,KC Sangakkara,49.0,KXIP
2008,KXIP,830,B Lee,47.666666666666664,KXIP
2008,KXIP,840,JR Hopes,41.36363636363637,KXIP
