Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table2.Inns,Table2.Overs,Table2.Mdns,Table2.Runs,Table2.Wkts,Table2.BBI,Table2.Ave,Table2.Econ,Table2.SR,Table2.4,Table2.5,Table2.Ct,Table2.St
MS Dhoni,16,15,9,455,79*,75.83,302,150.66,0,3,0,24,30,-,-,-,-,-,-,-,-,-,-,-,11,3
L Ngidi,7,-,-,-,-,-,-,-,-,-,-,-,-,7,26,2,156,11,44108,14.18,6,14.1,1,0,1,0
AT Rayudu,16,16,2,602,100*,43,402,149.75,1,3,1,53,34,-,-,-,-,-,-,-,-,-,-,-,2,0
DL Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,1,4,12,38.1,1,278,10,42064,27.8,7.28,22.9,0,0,1,0
SR Watson,15,15,1,555,117*,39.64,359,154.59,2,2,1,44,35,11,28,0,251,6,47150,41.83,8.96,28,0,0,3,0
RA Jadeja,16,10,5,89,27*,17.8,74,120.27,0,0,0,3,4,14,41,0,303,11,43160,27.54,7.39,22.3,0,0,11,0
SK Raina,15,15,3,445,75*,37.08,336,132.44,0,4,0,46,12,-,-,-,-,-,-,-,-,-,-,-,9,0
Harbhajan Singh,13,3,0,29,19,9.66,36,80.55,0,0,0,3,1,12,31.5,0,270,7,44593,38.57,8.48,27.2,0,0,4,0
DJ Bravo,16,10,6,141,68,35.25,91,154.94,0,1,1,8,10,16,53.3,1,533,14,42401,38.07,9.96,22.9,0,0,9,0
F du Plessis,6,6,1,162,67*,32.4,129,125.58,0,1,0,17,6,-,-,-,-,-,-,-,-,-,-,-,1,0
Imran Tahir,6,1,1,2,2*,-,2,100,0,0,0,0,0,6,20.4,0,188,6,12451,31.33,9.09,20.6,0,0,2,0
SN Thakur,13,1,1,15,15*,-,5,300,0,0,0,3,0,13,46.4,1,431,16,43132,26.93,9.23,17.5,0,0,4,0
KV Sharma,6,1,1,0,0*,-,0,-,0,0,0,0,0,5,9.3,0,89,4,41306,22.25,9.36,14.2,0,0,3,0
SW Billings,10,8,0,108,56,13.5,78,138.46,0,1,1,8,5,-,-,-,-,-,-,-,-,-,-,-,5,0
DJ Willey,3,-,-,-,-,-,-,-,-,-,-,-,-,3,10,0,95,2,45292,47.5,9.5,30,0,0,2,0
M Vijay,1,1,0,12,12,12,10,120,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,0,0
MA Wood,1,1,0,1,1,1,3,33.33,0,0,0,0,0,1,4,0,49,0,-,-,12.25,-,0,0,1,0
DR Shorey,1,1,0,8,8,8,9,88.88,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,0,0
KM Asif,2,-,-,-,-,-,-,-,-,-,-,-,-,2,6,0,75,3,15738,25,12.5,12,0,0,0,0
KM Jadhav,1,1,1,24,24*,-,22,109.09,0,0,0,1,2,-,-,-,-,-,-,-,-,-,-,-,0,0
