Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
RR Pant,16,16,3,488,78*,37.53,300,162.66,0,3,0,37,27,-,-,-,-,-,-,-,-,-,-,-,18,6
R Tewatia,5,4,3,26,11*,26,22,118.18,0,0,0,2,1,3,6.2,0,42,2,44105,21,6.63,19,0,0,6,0
S Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,1,64,11,-,-,-,-,-,-,-,-,-,-,-,5,0
A Mishra,11,4,2,21,8,10.5,24,87.5,0,0,0,2,0,11,40,0,270,11,42795,24.54,6.75,21.8,0,0,1,0
SS Iyer,16,16,1,463,67,30.86,386,119.94,0,3,0,41,14,-,-,-,-,-,-,-,-,-,-,-,8,0
J Suchith,1,1,0,6,6,6,15,40,0,0,0,0,0,1,4,0,28,2,46784,14,7,12,0,0,0,0
AR Patel,14,12,6,110,26,18.33,88,125,0,0,1,10,3,14,51,0,364,10,44593,36.4,7.13,30.6,0,0,9,0
PP Shaw,16,16,0,353,99,22.06,264,133.71,0,2,1,45,9,-,-,-,-,-,-,-,-,-,-,-,2,0
I Sharma,13,3,3,10,10*,-,3,333.33,0,0,0,1,1,13,46,1,349,13,13940,26.84,7.58,21.2,0,0,1,0
C Munro,4,4,0,84,40,21,70,120,0,0,0,9,4,-,-,-,-,-,-,-,-,-,-,-,0,0
K Rabada,12,4,1,14,9,4.66,15,93.33,0,0,1,0,1,12,47,0,368,25,44287,14.72,7.82,11.2,2,0,6,0
CA Ingram,12,12,2,184,47,18.4,154,119.48,0,0,0,20,5,-,-,-,-,-,-,-,-,-,-,-,1,0
TA Boult,5,3,2,7,6,7,4,175,0,0,0,0,1,5,19,0,163,5,46419,32.6,8.57,22.8,0,0,2,0
SE Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,0,2,7,6,6.5,0,59,1,43983,59,8.63,41,0,0,5,0
KMA Paul,8,6,1,18,7,3.6,24,75,0,0,2,1,1,8,27.1,0,237,9,42795,26.33,8.72,18.1,0,0,5,0
GH Vihari,2,2,0,4,2,2,8,50,0,0,0,0,0,1,1,0,9,0,-,-,9,-,0,0,0,0
S Lamichhane,6,1,0,0,0,0,1,0,0,0,1,0,0,6,23,0,210,8,14671,26.25,9.13,17.2,0,0,2,0
CH Morris,9,6,0,32,17,5.33,37,86.48,0,0,3,1,2,9,33,0,306,13,44621,23.53,9.27,15.2,0,0,4,0
HV Patel,2,2,1,0,0*,0,2,0,0,0,1,0,0,2,8,0,77,2,14642,38.5,9.62,24,0,0,0,0
Avesh Khan,1,1,1,4,4*,-,3,133.33,0,0,0,1,0,1,3,0,30,0,-,-,10,-,0,0,1,0
