Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
YK Pathan,16,16,5,332,72,30.18,240,138.33,0,1,2,30,14,5,9,0,73,1,44075,73,8.11,54,0,0,4,0
SP Narine,16,6,3,21,13,7,19,110.52,0,0,0,0,2,16,64,1,350,22,41365,15.9,5.46,17.4,2,0,6,0
RN ten Doeschate,4,4,1,85,42,28.33,63,134.92,0,0,0,9,2,3,3,0,24,0,-,-,8,-,0,0,1,0
SMSM Senanayake,8,4,3,10,7*,10,17,58.82,0,0,0,0,0,8,32,1,209,9,46054,23.22,6.53,21.3,0,0,2,0
EJG Morgan,14,13,2,307,51,27.9,240,127.91,0,1,0,28,13,-,-,-,-,-,-,-,-,-,-,-,6,0
B Lee,3,2,1,21,16*,21,12,175,0,0,0,1,2,3,12,0,86,4,14642,21.5,7.16,18,0,0,1,0
G Gambhir,16,16,0,406,60,25.37,343,118.36,0,4,2,51,5,-,-,-,-,-,-,-,-,-,-,-,2,0
LR Shukla,4,2,0,3,2,1.5,12,25,0,0,0,0,0,2,3,0,22,1,41640,22,7.33,18,0,0,2,0
S Narwal,2,1,0,23,23,23,15,153.33,0,0,0,4,0,1,2,0,17,0,-,-,8.5,-,0,0,0,0
JH Kallis,16,16,1,311,41,20.73,322,96.58,0,0,2,35,3,15,53,1,394,16,41334,24.62,7.43,19.8,0,0,3,0
Iqbal Abdulla,5,2,2,8,6*,-,14,57.14,0,0,0,0,0,5,18.5,0,142,7,47178,20.28,7.53,16.1,0,0,0,0
R Bhatia,15,10,4,99,26*,16.5,80,123.75,0,0,0,8,3,15,43.5,0,332,11,44958,30.18,7.57,23.9,0,0,0,0
MS Bisla,14,14,1,255,92,19.61,236,108.05,0,2,2,36,6,-,-,-,-,-,-,-,-,-,-,-,7,3
L Balaji,13,3,2,9,9*,9,10,90,0,0,1,1,0,13,50,1,387,12,43525,32.25,7.74,25,0,0,4,0
MK Tiwary,10,9,1,146,33,18.25,140,104.28,0,0,1,12,1,-,-,-,-,-,-,-,-,-,-,-,10,0
DB Das,10,6,1,75,23,15,74,101.35,0,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-,2,0
Mohammed Shami,3,1,0,5,5,5,10,50,0,0,0,0,0,3,9,0,78,1,11689,78,8.66,54,0,0,0,0
S Ladda,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,18,1,43101,18,9,12,0,0,0,0
PJ Sangwan,2,1,1,4,4*,-,2,200,0,0,0,1,0,2,4,0,51,0,-,-,12.75,-,0,0,0,0
BB McCullum,1,1,0,6,6,6,7,85.71,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,0,0
R McLaren,2,2,0,3,2,1.5,6,50,0,0,0,0,0,2,7,0,94,3,21947,31.33,13.42,14,0,0,1,0
P Dogra,1,1,0,5,5,5,8,62.5,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,1,0
