Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
BJ Hodge,14,14,6,285,51*,35.62,236,120.76,0,1,1,26,9,4,11,0,77,7,41365,11,7,9.4,1,0,1,0
S Sreesanth,9,3,1,1,1,0.5,9,11.11,0,0,1,0,0,9,31.5,2,206,7,44106,29.42,6.47,27.2,0,0,1,0
RA Jadeja,14,12,3,283,47,31.44,228,124.12,0,0,0,20,14,14,42,0,305,8,45689,38.12,7.26,31.5,0,0,1,0
RP Singh,14,5,2,2,1*,0.66,4,50,0,0,2,0,0,14,50,0,345,13,45748,26.53,6.9,23,1,0,6,0
BB McCullum,13,13,0,357,81,27.46,275,129.81,0,1,2,35,16,-,-,-,-,-,-,-,-,-,-,-,2,0
DPMD Jayawardene,13,13,0,299,76,23,257,116.34,0,3,0,35,5,-,-,-,-,-,-,-,-,-,-,-,6,0
Y Gnaneswara Rao,2,1,0,19,19,19,17,111.76,0,0,0,3,0,1,1,0,7,0,-,-,7,-,0,0,2,0
PA Patel,14,13,3,202,37*,20.2,183,110.38,0,0,2,25,2,-,-,-,-,-,-,-,-,-,-,-,8,1
M Muralitharan,5,1,1,5,5*,-,8,62.5,0,0,0,0,0,5,19,0,141,2,43101,70.5,7.42,57,0,0,1,0
M Klinger,4,4,0,73,29,18.25,77,94.8,0,0,0,9,0,-,-,-,-,-,-,-,-,-,-,-,0,0
R Vinay Kumar,13,7,1,50,18,8.33,47,106.38,0,0,0,4,1,13,44.4,0,335,12,45717,27.91,7.5,22.3,0,0,4,0
VVS Laxman,3,3,0,44,36,14.66,42,104.76,0,0,1,3,2,-,-,-,-,-,-,-,-,-,-,-,0,0
NLTC Perera,4,2,0,23,22,11.5,27,85.18,0,0,0,4,0,4,14,0,111,2,10959,55.5,7.92,42,0,0,0,0
OA Shah,3,2,0,26,23,13,15,173.33,0,0,0,1,2,-,-,-,-,-,-,-,-,-,-,-,2,0
RV Gomez,11,8,3,46,26*,9.2,50,92,0,0,3,4,1,8,15,1,124,5,41671,24.8,8.26,18,0,0,1,0
B Akhil,1,1,0,13,13,13,9,144.44,0,0,0,0,1,1,2,0,22,0,-,-,11,-,0,0,0,0
P Parameswaran,5,1,1,1,1*,-,1,100,0,0,0,0,0,5,15.4,0,137,4,43862,34.25,8.74,23.5,0,0,0,0
RR Powar,5,3,2,11,8*,11,13,84.61,0,0,1,0,0,5,12,0,112,2,43831,56,9.33,36,0,0,0,0
P Prasanth,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,18,0,-,-,18,-,0,0,0,0
KM Jadhav,6,4,1,18,12,6,23,78.26,0,0,1,1,0,-,-,-,-,-,-,-,-,-,-,-,2,0
