Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
AC Gilchrist,7,7,2,172,64*,34.4,143,120.27,0,1,0,21,4,-,-,-,-,-,-,-,-,-,-,-,5,0
AD Mascarenhas,4,3,0,14,9,4.66,16,87.5,0,0,1,1,0,4,16,0,105,7,45778,15,6.56,13.7,0,1,2,0
DJ Hussey,16,15,3,396,68*,33,305,129.83,0,2,0,28,17,6,9,0,63,3,43863,21,7,18,0,0,4,0
P Kumar,16,7,4,35,10,11.66,30,116.66,0,0,1,2,1,16,63,2,434,9,42036,48.22,6.88,42,0,0,1,0
DA Miller,6,6,3,98,34*,32.66,75,130.66,0,0,0,6,4,-,-,-,-,-,-,-,-,-,-,-,1,0
SE Marsh,13,13,2,336,68*,30.54,280,120,0,2,0,39,7,-,-,-,-,-,-,-,-,-,-,-,8,0
RJ Harris,5,2,1,18,15*,18,11,163.63,0,0,0,1,1,5,18,0,130,8,12510,16.25,7.22,13.5,1,0,2,0
Gurkeerat Singh,5,4,1,86,29*,28.66,52,165.38,0,0,0,12,2,-,-,-,-,-,-,-,-,-,-,-,2,0
PP Chawla,16,12,4,106,21*,13.25,88,120.45,0,0,1,9,4,16,57,1,419,16,43160,26.18,7.35,21.3,0,0,3,0
Mandeep Singh,16,16,0,432,75,27,342,126.31,0,2,1,53,7,-,-,-,-,-,-,-,-,-,-,-,5,0
Azhar Mahmood,11,10,2,186,36,23.25,142,130.98,0,0,0,16,8,11,42.4,0,329,14,43891,23.5,7.71,18.2,0,0,7,0
Bipul Sharma,5,4,1,72,35*,24,47,153.19,0,0,0,6,3,3,7.4,0,79,0,-,-,10.3,-,0,0,1,0
P Awana,12,2,2,4,4*,-,5,80,0,0,0,0,0,12,47,0,372,17,12510,21.88,7.91,16.5,1,0,3,0
BA Bhatt,5,1,1,6,6*,-,2,300,0,0,0,0,1,5,16.3,0,136,2,45323,68,8.24,49.5,0,0,0,0
SD Chitnis,6,4,1,66,38,22,62,106.45,0,0,0,7,1,-,-,-,-,-,-,-,-,-,-,-,1,0
Harmeet Singh,7,2,1,15,14,15,7,214.28,0,0,0,3,0,7,22.2,0,191,7,45352,27.28,8.55,19.1,0,0,1,0
JP Faulkner,2,2,1,14,11*,14,13,107.69,0,0,0,0,0,2,8,0,72,3,15008,24,9,16,0,0,1,0
AM Nayar,4,4,1,45,24,15,49,91.83,0,0,0,2,1,1,1,0,16,0,-,-,16,-,0,0,0,0
RR Powar,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,32,0,-,-,10.66,-,0,0,0,0
N Saini,10,10,0,140,50,14,141,99.29,0,1,0,16,0,-,-,-,-,-,-,-,-,-,-,-,11,2
PC Valthaty,6,6,0,30,13,5,51,58.82,0,0,1,4,0,1,1,0,16,0,-,-,16,-,0,0,1,0
P Dogra,3,3,1,15,6,7.5,24,62.5,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,1,0
