Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns2,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
DA Miller,16,16,6,446,66,44.6,299,149.16,0,3,0,34,21,0,0,0,0,0,0,0,0,0,0,0,14,0
AR Patel,17,8,2,62,42,10.33,60,103.33,0,0,0,6,1,17,66,2,405,17,43914,23.82,6.13,23.2,0,0,7,0
R Dhawan,13,6,4,82,23,41,75,109.33,0,0,0,8,1,13,47.2,0,365,13,43875,28.07,7.71,21.8,0,0,3,0
Shivam Sharma,4,2,1,5,4,5,3,166.66,0,0,0,1,0,4,16,0,121,3,43887,40.33,7.56,32,0,0,1,0
M Vohra,8,8,0,324,67,40.5,233,139.05,0,1,0,27,16,0,0,0,0,0,0,0,0,0,0,0,3,0
SE Marsh,2,2,0,70,40,35,52,134.61,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,2,0
Karanveer Singh,5,1,1,1,1,0,1,100,0,0,0,0,0,5,20,0,164,11,19815,14.9,8.2,10.9,1,0,1,0
GJ Maxwell,16,16,0,552,95,34.5,294,187.75,0,4,2,48,36,7,11,0,132,1,43851,132,12,66,0,0,9,0
MG Johnson,14,8,5,56,16,18.66,50,112,0,0,1,4,3,14,53.3,0,444,17,43880,26.11,8.29,18.8,0,0,4,0
WP Saha,17,13,2,362,115,32.9,249,145.38,1,2,0,33,18,0,0,0,0,0,0,0,0,0,0,0,8,4
L Balaji,9,2,1,1,1,1,3,33.33,0,0,1,0,0,9,34,0,299,12,43934,24.91,8.79,17,1,0,0,0
GJ Bailey,17,16,7,257,40,28.55,190,135.26,0,0,0,19,10,0,0,0,0,0,0,0,0,0,0,0,8,0
Sandeep Sharma,11,1,1,2,2,0,5,40,0,0,0,0,0,11,40.1,2,354,18,43905,19.66,8.81,13.3,0,0,1,0
V Sehwag,17,17,0,455,122,26.76,315,144.44,1,1,0,56,18,0,0,0,0,0,0,0,0,0,0,0,5,0
P Awana,7,0,0,0,0,0,0,0,0,0,0,0,0,7,23.3,1,245,7,43876,35,10.42,20.1,0,0,0,0
CA Pujara,6,6,1,125,40,25,124,100.8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE Hendricks,3,1,0,0,0,0,1,0,0,0,1,0,0,3,12,0,126,4,13210,31.5,10.5,18,0,0,1,0
M Kartik,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,91,1,18629,91,11.37,48,0,0,1,0
Mandeep Singh,3,3,0,24,21,8,26,92.3,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0
