Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
SS Tiwary,1,1,0,52,52,52,43,120.93,0,1,0,9,0,-,-,-,-,-,-,-,-,-,-,-,0,0
Harbhajan Singh,11,7,5,16,7*,8,16,100,0,0,1,0,1,11,41,0,266,8,44621,33.25,6.48,30.7,0,0,2,0
HH Pandya,17,16,9,250,35*,35.71,160,156.25,0,0,0,11,20,13,26,0,213,6,44593,35.5,8.19,26,0,0,12,0
KH Pandya,13,11,4,243,47,34.71,179,135.75,0,0,0,24,7,13,40,0,273,10,41699,27.3,6.82,24,0,0,2,0
KV Sharma,9,6,0,49,19,8.16,41,119.51,0,0,0,5,2,9,30.4,0,214,13,42461,16.46,6.97,14.1,1,0,3,0
N Rana,13,12,1,333,62*,30.27,264,126.13,0,3,0,24,17,-,-,-,-,-,-,-,-,-,-,-,4,0
MG Johnson,5,3,3,20,13*,-,17,117.64,0,0,0,1,1,5,20,1,141,7,46082,20.14,7.05,17.1,0,0,1,0
KA Pollard,17,16,3,385,70,29.61,276,139.49,0,3,0,26,22,1,1.5,0,30,0,-,-,16.36,-,0,0,15,0
JJ Bumrah,16,2,1,16,16*,16,12,133.33,0,0,1,0,1,16,59.2,2,440,20,44015,22,7.41,17.8,0,0,2,0
JC Buttler,10,10,0,272,77,27.2,177,153.67,0,1,0,27,15,-,-,-,-,-,-,-,-,-,-,-,1,0
PA Patel,16,16,0,395,70,24.68,293,134.81,0,2,2,49,8,-,-,-,-,-,-,-,-,-,-,-,6,2
SL Malinga,12,2,2,7,7*,-,3,233.33,0,0,0,0,1,12,44.5,0,382,11,43953,34.72,8.52,24.4,0,0,1,0
RG Sharma,17,16,2,333,67,23.78,273,121.97,0,3,1,31,9,-,-,-,-,-,-,-,-,-,-,-,10,0
MJ McClenaghan,14,7,3,16,12,4,15,106.66,0,0,2,0,1,14,54,0,507,19,45352,26.68,9.38,17,0,0,1,0
LMP Simmons,7,7,0,137,66,19.57,112,122.32,0,2,1,10,8,-,-,-,-,-,-,-,-,-,-,-,2,0
TG Southee,3,1,0,7,7,7,3,233.33,0,0,0,0,1,3,10,1,96,3,14277,32,9.6,20,0,0,1,0
AT Rayudu,5,5,0,91,63,18.2,78,116.66,0,1,1,7,3,-,-,-,-,-,-,-,-,-,-,-,3,0
R Vinay Kumar,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,31,2,11355,15.5,10.33,9,0,0,0,0
