Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
MK Pandey,5,4,2,168,114*,84,118,142.37,1,0,0,17,4,-,-,-,-,-,-,-,-,-,-,-,4,0
A Kumble,16,7,6,16,7*,16,19,84.21,0,0,0,2,0,16,59.1,1,347,21,43956,16.52,5.86,16.9,1,1,3,0
LRPL Taylor,11,11,2,280,81*,31.11,208,134.61,0,1,1,20,15,1,1,0,13,0,-,-,13,-,0,0,3,0
KP Pietersen,6,6,0,93,37,15.5,85,109.41,0,0,2,8,2,4,13,0,85,4,11355,21.25,6.53,19.5,0,0,3,0
MV Boucher,12,9,4,150,48*,30,116,129.31,0,0,0,8,6,-,-,-,-,-,-,-,-,-,-,-,7,0
JD Ryder,5,5,0,56,32,11.2,49,114.28,0,0,2,9,0,5,17,0,115,3,41671,38.33,6.76,34,0,0,2,0
JH Kallis,15,15,2,361,69*,27.76,332,108.73,0,3,2,37,8,14,46,1,353,6,43132,58.83,7.67,46,0,0,5,0
DW Steyn,3,2,1,0,0*,0,3,0,0,0,1,0,0,3,9,0,62,2,44197,31,6.88,27,0,0,2,0
SP Goswami,2,2,0,53,43,26.5,60,88.33,0,0,0,6,0,-,-,-,-,-,-,-,-,-,-,-,1,0
KP Appanna,5,1,1,0,0*,-,1,0,0,0,0,0,0,5,12,0,87,2,45292,43.5,7.25,36,0,0,0,0
R Dravid,13,12,0,271,66,22.58,234,115.81,0,1,1,28,3,-,-,-,-,-,-,-,-,-,-,-,2,0
B Akhil,6,3,1,17,9,8.5,15,113.33,0,0,1,1,1,5,11,0,80,4,43132,20,7.27,16.5,0,0,0,0
V Kohli,16,13,2,246,50,22.36,219,112.32,0,1,0,22,8,3,6,0,46,0,-,-,7.66,-,0,0,9,0
RE van der Merwe,10,8,0,122,35,15.25,98,124.48,0,0,0,8,8,10,34,0,248,9,44593,27.55,7.29,22.6,0,0,4,0
RV Uthappa,15,13,2,175,66*,15.9,170,102.94,0,1,1,18,3,-,-,-,-,-,-,-,-,-,-,-,7,1
P Kumar,13,8,3,65,14*,13,46,141.3,0,0,1,1,6,13,49.4,1,394,13,11018,30.3,7.93,22.9,0,0,1,0
D du Preez,2,1,0,10,10,10,13,76.92,0,0,0,0,0,2,7,1,56,4,11749,14,8,10.5,0,0,0,0
R Vinay Kumar,11,8,3,47,12,9.4,44,106.81,0,0,1,4,1,11,32.2,0,271,9,10990,30.11,8.38,21.5,0,0,3,0
Pankaj Singh,3,2,1,1,1*,1,2,50,0,0,1,0,0,3,7,0,65,2,11355,32.5,9.28,21,0,0,1,0
A Mithun,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,42,0,-,-,10.5,-,0,0,0,0
R Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,1,2,-,-,-,-,-,-,-,-,-,-,-,1,0
W Jaffer,2,2,0,15,8,7.5,17,88.23,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-,1,0
KV Sharma,1,1,0,1,1,1,3,33.33,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
