Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
KP Pietersen,7,7,3,236,66*,59,157,150.31,0,2,0,23,8,6,10,0,77,3,43840,25.66,7.7,20,0,0,3,0
ND Doshi,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,17,1,43847,17,4.25,24,0,0,0,0
JH Kallis,16,16,4,572,89*,47.66,494,115.78,0,6,1,67,9,16,57,1,476,13,43864,36.61,8.35,26.3,0,0,7,0
B Akhil,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,6,0,-,-,6,-,0,0,0,0
RV Uthappa,16,14,2,374,68*,31.16,218,171.55,0,3,0,21,27,-,-,-,-,-,-,-,-,-,-,-,7,3
A Kumble,16,5,5,6,2*,-,11,54.54,0,0,0,0,0,16,63.2,0,407,17,43937,23.94,6.42,22.3,1,0,3,0
R Dravid,16,11,2,256,52,28.44,199,128.64,0,1,0,34,3,-,-,-,-,-,-,-,-,-,-,-,4,0
RE van der Merwe,1,1,0,1,1,1,2,50,0,0,0,0,0,1,4,0,27,2,43888,13.5,6.75,12,0,0,1,0
V Kohli,16,13,2,307,58,27.9,212,144.81,0,1,0,26,12,4,5.2,0,50,0,-,-,9.37,-,0,0,3,0
DW Steyn,15,4,0,13,8,3.25,17,76.47,0,0,2,2,0,15,59,1,406,15,43908,27.06,6.88,23.6,0,0,1,0
S Sriram,1,1,0,27,27,27,29,93.1,0,0,0,3,0,1,2,0,24,0,-,-,12,-,0,0,0,0
KP Appanna,2,2,1,2,1*,2,3,66.66,0,0,0,0,0,2,7,0,51,1,43854,51,7.28,42,0,0,0,0
CL White,7,5,3,48,21*,24,33,145.45,0,0,0,3,3,1,1,0,19,0,-,-,19,-,0,0,4,0
LRPL Taylor,7,7,3,88,31*,22,75,117.33,0,0,0,2,6,-,-,-,-,-,-,-,-,-,-,-,4,0
MK Pandey,13,13,1,249,42*,20.75,226,110.17,0,0,2,27,7,-,-,-,-,-,-,-,-,-,-,-,6,0
P Kumar,12,4,2,4,3*,2,8,50,0,0,1,0,0,12,45,0,380,10,43908,38,8.44,27,0,0,1,0
MV Boucher,5,2,1,13,11*,13,10,130,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,3,2
R Vinay Kumar,14,5,1,27,10*,6.75,32,84.37,0,0,0,1,0,14,46.1,0,396,16,14702,24.75,8.57,17.3,1,0,3,0
EJG Morgan,6,4,1,35,17,11.66,30,116.66,0,0,0,2,1,-,-,-,-,-,-,-,-,-,-,-,4,0
SP Goswami,1,1,0,8,8,8,10,80,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-,0,0
Pankaj Singh,2,1,0,1,1,1,2,50,0,0,0,0,0,2,8,1,81,2,43888,40.5,10.12,24,0,0,0,0
A Mithun,1,1,0,5,5,5,4,125,0,0,0,1,0,1,3,0,39,1,14246,39,13,18,0,0,0,0
