Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
NK Patel,5,4,2,103,57,51.5,81,127.16,0,1,0,13,1,-,-,-,-,-,-,-,-,-,-,-,2,0
Sohail Tanvir,11,5,2,36,13,12,29,124.13,0,0,0,3,1,11,41.1,0,266,22,41791,12.09,6.46,11.2,1,1,4,0
GC Smith,11,11,2,441,91,49,362,121.82,0,3,0,54,8,-,-,-,-,-,-,-,-,-,-,-,2,0
SR Watson,15,15,5,472,76*,47.2,311,151.76,0,4,1,47,19,15,54.1,0,383,17,44107,22.52,7.07,19.1,0,0,2,0
AD Mascarenhas,1,1,0,9,9,9,8,112.5,0,0,0,0,1,1,4,0,29,2,47150,14.5,7.25,12,0,0,0,0
SA Asnodkar,9,9,0,311,60,34.55,233,133.47,0,2,0,43,6,-,-,-,-,-,-,-,-,-,-,-,5,0
MM Patel,15,2,2,0,0*,-,1,0,0,0,0,0,0,15,55,1,420,14,42795,30,7.63,23.5,0,0,2,0
YK Pathan,16,15,1,435,68,31.07,243,179.01,0,4,0,43,25,13,28.1,0,230,8,44621,28.75,8.16,21.1,0,0,3,0
SK Warne,15,7,2,70,22*,14,59,118.64,0,0,1,7,2,15,52,1,404,19,43525,21.26,7.76,16.4,0,0,6,0
Kamran Akmal,6,6,1,128,53*,25.6,78,164.1,0,1,0,13,8,-,-,-,-,-,-,-,-,-,-,-,5,4
RA Jadeja,14,9,2,135,36*,19.28,103,131.06,0,0,2,11,6,2,2.1,0,21,0,-,-,9.69,-,0,0,7,0
SK Trivedi,15,3,2,5,3*,5,12,41.66,0,0,0,0,0,15,48,0,399,13,45689,30.69,8.31,22.1,0,0,3,0
D Salunkhe,6,3,1,33,26*,16.5,24,137.5,0,0,0,5,0,5,8,0,78,1,44197,78,9.75,48,0,0,2,0
M Kaif,16,14,3,176,34*,16,171,102.92,0,0,0,14,6,-,-,-,-,-,-,-,-,-,-,-,8,0
Pankaj Singh,5,2,2,5,4*,-,8,62.5,0,0,0,0,0,5,12,0,129,0,-,-,10.75,-,0,0,1,0
DS Lehmann,2,2,0,18,17,9,18,100,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-,0,0
M Rawat,11,7,3,34,23*,8.5,39,87.17,0,0,1,3,1,-,-,-,-,-,-,-,-,-,-,-,9,0
T Kohli,2,2,0,10,7,5,15,66.66,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,1,0
Younis Khan,1,1,0,3,3,3,7,42.85,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,1,0
