Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
S Dhawan,14,14,2,400,95*,33.33,310,129.03,0,2,0,47,7,2,2,0,11,1,44013,11,5.5,12,0,0,6,0
KC Sangakkara,13,13,0,358,65,27.53,293,122.18,0,1,2,44,5,-,-,-,-,-,-,-,-,-,-,-,17,2
DW Steyn,12,5,1,36,13,9,35,102.85,0,0,0,3,0,12,45.3,1,299,14,42430,21.35,6.57,19.5,0,0,1,0
DB Ravi Teja,12,9,2,183,60,26.14,144,127.08,0,1,0,17,4,1,1,0,9,0,-,-,9,-,0,0,5,0
A Mishra,14,9,5,68,25*,17,49,138.77,0,0,3,9,1,14,53.2,2,358,19,44078,18.84,6.71,16.8,1,0,2,0
CL White,6,6,2,104,31*,26,109,95.41,0,0,0,6,2,-,-,-,-,-,-,-,-,-,-,-,2,0
I Sharma,12,5,5,4,1*,-,5,80,0,0,0,0,0,12,44,0,314,11,44170,28.54,7.13,24,0,1,3,0
B Chipli,14,13,5,207,61*,25.87,170,121.76,0,1,0,21,4,1,1,0,20,0,-,-,20,-,0,0,1,0
PP Ojha,10,-,-,-,-,-,-,-,-,-,-,-,-,10,36.5,0,267,10,46082,26.7,7.24,22.1,0,0,2,0
S Sohal,11,10,0,249,62,24.9,191,130.36,0,2,1,25,10,-,-,-,-,-,-,-,-,-,-,-,0,0
Harmeet Singh,2,-,-,-,-,-,-,-,-,-,-,-,-,2,7,0,53,3,46419,17.66,7.57,14,0,0,0,0
JP Duminy,10,10,0,205,55,20.5,174,117.81,0,1,0,9,8,8,18,0,143,4,43891,35.75,7.94,27,0,0,2,0
DT Christian,14,13,2,190,30,17.27,159,119.49,0,0,1,9,7,14,45.4,0,350,11,41306,31.81,7.66,24.9,0,0,7,0
IR Jaggi,2,2,0,28,25,14,37,75.67,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-,1,0
MS Gony,3,2,1,0,0*,0,2,0,0,0,1,0,0,3,9,0,85,4,11383,21.25,9.44,13.5,0,0,0,0
Anand Rajan,2,-,-,-,-,-,-,-,-,-,-,-,-,2,5,0,50,3,46447,16.66,10,10,0,0,2,0
MJ Lumb,1,1,0,0,0,0,2,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,1,0
I Malhotra,1,1,1,7,7*,-,4,175,0,0,0,1,0,1,1,0,23,0,-,-,23,-,0,0,0,0
KH Devdhar,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1
