Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
DA Warner,17,17,3,848,93*,60.57,560,151.42,0,9,1,88,31,-,-,-,-,-,-,-,-,-,-,-,4,0
Mustafizur Rahman,16,-,-,-,-,-,-,-,-,-,-,-,-,16,61,1,421,17,43906,24.76,6.9,21.5,0,0,2,0
S Dhawan,17,17,4,501,82*,38.53,429,116.78,0,4,1,51,8,-,-,-,-,-,-,-,-,-,-,-,5,0
KS Williamson,6,6,0,124,50,20.66,122,101.63,0,1,0,14,0,1,1,0,7,0,-,-,7,-,0,0,5,0
BCJ Cutting,4,4,2,65,39*,32.5,34,191.17,0,0,1,4,6,4,11.1,0,80,5,43881,16,7.16,13.4,0,0,1,0
Yuvraj Singh,10,10,1,236,44,26.22,179,131.84,0,0,0,22,13,5,6.1,0,52,0,-,-,8.43,-,0,0,1,0
B Kumar,17,8,2,43,21,7.16,27,159.25,0,0,0,6,1,17,66,3,490,23,43950,21.3,7.42,17.2,1,0,6,0
Bipul Sharma,7,4,2,51,27*,25.5,25,204,0,0,0,1,5,6,14,0,121,3,43840,40.33,8.64,28,0,0,2,0
DJ Hooda,17,15,1,144,34,10.28,121,119,0,0,0,9,5,6,13,0,97,3,43877,32.33,7.46,26,0,0,3,0
EJG Morgan,7,6,1,123,51,24.6,105,117.14,0,1,1,8,4,-,-,-,-,-,-,-,-,-,-,-,3,0
A Nehra,8,2,2,1,1*,-,1,100,0,0,0,0,0,8,26,1,199,9,43905,22.11,7.65,17.3,0,0,1,0
A Ashish Reddy,4,3,1,47,32,23.5,29,162.06,0,0,0,2,4,2,3.5,0,39,1,43844,39,10.17,23,0,0,1,0
MC Henriques,17,15,3,182,31*,15.16,158,115.18,0,0,1,15,6,17,52,0,415,12,43878,34.58,7.98,26,0,0,11,0
BB Sran,14,4,4,4,2*,-,4,100,0,0,0,0,0,14,49.3,0,413,14,43918,29.5,8.34,21.2,0,0,2,0
NV Ojha,17,13,3,136,37,13.6,138,98.55,0,0,1,7,5,-,-,-,-,-,-,-,-,-,-,-,18,0
TA Boult,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,39,1,14246,39,9.75,24,0,0,1,0
AP Tare,3,2,0,8,8,4,15,53.33,0,0,1,1,0,-,-,-,-,-,-,-,-,-,-,-,1,0
KV Sharma,5,3,3,36,26*,-,30,120,0,0,0,3,1,5,16.2,0,171,0,-,-,10.46,-,0,0,0,0
