n_neighbors,weights,metric,leaf_size,Ambiguity,Real Test Accuracy,Train Accuracy
3,uniform,manhattan,30,0.7498181818181817,54.62272727272728,77.39600000000003
3,uniform,manhattan,20,0.7498181818181817,54.62272727272728,77.39600000000003
3,uniform,manhattan,10,0.7498181818181817,54.62272727272728,77.39600000000003
12,distance,manhattan,30,0.8836363636363632,53.52654545454547,100.0
12,distance,manhattan,20,0.8836363636363632,53.52654545454547,100.0
12,distance,manhattan,10,0.8836363636363632,53.52654545454547,100.0
15,uniform,manhattan,20,1.9001818181818173,53.472181818181824,62.04381818181819
15,uniform,manhattan,10,1.9001818181818173,53.472181818181824,62.04381818181819
15,uniform,manhattan,30,1.9001818181818173,53.472181818181824,62.04381818181819
18,distance,euclidean,30,2.7569090909090903,53.393090909090915,100.0
18,distance,euclidean,20,2.7569090909090903,53.393090909090915,100.0
18,distance,euclidean,10,2.7569090909090903,53.393090909090915,100.0
8,distance,manhattan,10,1.2052727272727268,53.36836363636365,100.0
8,distance,manhattan,20,1.2052727272727268,53.36836363636365,100.0
8,distance,manhattan,30,1.2052727272727268,53.36836363636365,100.0
15,distance,manhattan,20,1.2047272727272722,53.33927272727275,100.0
15,distance,manhattan,10,1.2047272727272722,53.33927272727275,100.0
15,distance,manhattan,30,1.2047272727272722,53.33927272727275,100.0
1,distance,manhattan,30,1.0729090909090908,53.23236363636363,100.0
1,distance,manhattan,20,1.0729090909090908,53.23236363636363,100.0
1,distance,manhattan,10,1.0729090909090908,53.23236363636363,100.0
1,uniform,manhattan,30,1.0729090909090908,53.23236363636363,100.0
1,uniform,manhattan,20,1.0729090909090908,53.23236363636363,100.0
1,uniform,manhattan,10,1.0729090909090908,53.23236363636363,100.0
15,uniform,euclidean,10,2.168181818181817,53.07163636363637,61.37418181818184
15,uniform,euclidean,20,2.168181818181817,53.07163636363637,61.37418181818184
15,uniform,euclidean,30,2.168181818181817,53.07163636363637,61.37418181818184
18,distance,manhattan,30,1.5254545454545447,53.04745454545455,100.0
18,distance,manhattan,10,1.5254545454545447,53.04745454545455,100.0
18,distance,manhattan,20,1.5254545454545447,53.04745454545455,100.0
