Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SA Yadav,14,14,0,512,72,36.57,384,133.33,0,4,1,61,16
JP Duminy,6,4,3,36,23,36,40,90,0,0,0,3,1
E Lewis,13,13,0,382,65,29.38,276,138.4,0,2,2,32,24
HH Pandya,13,13,4,260,50,28.88,195,133.33,0,1,0,20,11
BCJ Cutting,9,6,2,96,37,24,58,165.51,0,0,0,5,8
RG Sharma,14,14,2,286,94,23.83,215,133.02,0,2,3,25,12
Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,3,22,17
KH Pandya,14,13,3,228,41*,22.8,157,145.22,0,0,0,22,10
KA Pollard,9,8,1,133,50,19,100,133,0,1,1,10,7
M Markande,14,6,4,21,7*,10.5,24,87.5,0,0,0,2,0
JJ Bumrah,14,3,2,10,6*,10,11,90.9,0,0,1,1,0
MJ McClenaghan,11,5,3,11,11*,5.5,10,110,0,0,2,1,1
Mustafizur Rahman,7,2,1,1,1,1,3,33.33,0,0,0,0,0
PJ Sangwan,1,1,0,0,0,0,4,0,0,0,1,0,0
A Dananjaya,1,1,1,4,4*,-,5,80,0,0,0,0,0
