Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
JJ Bumrah,14,14,54,0,372,17,Mar-15,21.88,6.88,19,0,0,4,0
KH Pandya,14,13,40.1,0,284,12,Mar-28,23.66,7.07,20,0,0,9,0
MJ McClenaghan,11,11,40,0,332,14,Feb-22,23.71,8.3,17.1,0,0,0,0
M Markande,14,14,44,0,368,15,Apr-23,24.53,8.36,17.6,1,0,3,0
Mustafizur Rahman,7,7,27.3,0,230,7,Mar-24,32.85,8.36,23.5,0,0,2,0
HH Pandya,13,13,42.4,0,381,18,Mar-24,21.16,8.92,14.2,0,0,8,0
PJ Sangwan,1,1,2,0,19,0,-,-,9.5,-,0,0,0,0
BCJ Cutting,9,7,17,0,168,2,01-Dec,84,9.88,51,0,0,7,0
A Dananjaya,1,1,4,0,47,0,-,-,11.75,-,0,0,0,0
JP Duminy,6,2,3,0,36,0,-,-,12,-,0,0,2,0
Ishan Kishan,14,-,-,-,-,-,-,-,-,-,-,-,9,2
E Lewis,13,-,-,-,-,-,-,-,-,-,-,-,3,0
KA Pollard,9,-,-,-,-,-,-,-,-,-,-,-,4,0
RG Sharma,14,-,-,-,-,-,-,-,-,-,-,-,8,0
SA Yadav,14,-,-,-,-,-,-,-,-,-,-,-,8,0
