Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli,16,16,4,973,113,81.08,640,152.03,4,7,1,83,38
AB de Villiers,16,16,3,687,129*,52.84,407,168.79,1,6,1,57,37
KL Rahul,14,12,3,397,68*,44.11,271,146.49,0,4,1,37,16
SN Khan,5,4,2,66,35*,33,31,212.9,0,0,0,7,4
Sachin Baby,11,6,2,119,33,29.75,79,150.63,0,0,1,9,5
TM Head,3,3,1,54,37,27,40,135,0,0,0,3,2
CH Gayle,10,10,0,227,76,22.7,150,151.33,0,2,1,17,21
STR Binny,14,6,2,63,21,15.75,39,161.53,0,0,0,5,4
SR Watson,16,15,2,179,36,13.76,134,133.58,0,0,1,14,12
Parvez Rasool,4,1,0,10,10,10,9,111.11,0,0,0,1,0
CJ Jordan,9,1,0,3,3,3,4,75,0,0,0,0,0
KM Jadhav,4,3,3,42,25*,-,32,131.25,0,0,0,2,2
Iqbal Abdulla,8,2,2,37,33*,-,27,137.03,0,0,0,4,1
D Wiese,1,1,1,5,5*,-,4,125,0,0,0,0,0
KW Richardson,4,1,1,1,1*,-,1,100,0,0,0,0,0
VR Aaron,8,1,1,0,0*,-,0,-,0,0,0,0,0
HV Patel,5,1,1,0,0*,-,0,-,0,0,0,0,0
S Aravind,9,-,-,-,-,-,-,-,-,-,-,-,-
YS Chahal,13,-,-,-,-,-,-,-,-,-,-,-,-
Mandeep Singh,1,-,-,-,-,-,-,-,-,-,-,-,-
AF Milne,1,-,-,-,-,-,-,-,-,-,-,-,-
T Shamsi,4,-,-,-,-,-,-,-,-,-,-,-,-
