Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
YS Chahal,14,14,50,1,363,12,Feb-22,30.25,7.26,25,0,0,2,0
MM Ali,5,5,13.1,0,97,3,Jan-13,32.33,7.36,26.3,0,0,2,0
M Ashwin,2,2,7,0,53,3,Feb-36,17.66,7.57,14,0,0,0,0
UT Yadav,14,14,53.1,1,418,20,Mar-23,20.9,7.86,15.9,0,0,2,0
C de Grandhomme,9,7,15,0,129,2,01-Aug,64.5,8.6,45,0,0,3,0
Mohammed Siraj,11,11,41,0,367,11,Mar-25,33.36,8.95,22.3,0,0,5,0
TG Southee,8,8,29,0,261,5,Mar-30,52.2,9,34.8,0,0,3,0
Washington Sundar,7,7,20,0,192,4,Feb-22,48,9.6,30,0,0,0,0
K Khejroliya,3,3,10.5,0,107,2,Feb-33,53.5,9.87,32.5,0,0,0,0
CR Woakes,5,5,18.2,0,190,8,Mar-36,23.75,10.36,13.7,0,0,1,0
P Negi,2,2,4,0,49,1,Jan-36,49,12.25,24,0,0,0,0
CJ Anderson,3,3,8.4,0,115,3,Feb-47,38.33,13.26,17.3,0,0,0,0
Q de Kock,8,-,-,-,-,-,-,-,-,-,-,-,7,3
AB de Villiers,12,-,-,-,-,-,-,-,-,-,-,-,6,0
SN Khan,7,-,-,-,-,-,-,-,-,-,-,-,2,0
V Kohli,14,-,-,-,-,-,-,-,-,-,-,-,8,0
BB McCullum,6,-,-,-,-,-,-,-,-,-,-,-,1,0
Mandeep Singh,14,-,-,-,-,-,-,-,-,-,-,-,4,0
PA Patel,6,-,-,-,-,-,-,-,-,-,-,-,3,0
M Vohra,4,-,-,-,-,-,-,-,-,-,-,-,0,0
