Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AD Russell,14,13,4,510,80*,56.66,249,204.81,0,4,1,31,52
N Rana,14,11,1,344,85*,34.4,235,146.38,0,3,1,27,21
Shubman Gill,14,13,4,296,76,32.88,238,124.36,0,3,0,21,10
KD Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,0,22,14
RV Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,1,28,10
CA Lynn,13,13,0,405,82,31.15,290,139.65,0,4,2,41,22
RK Singh,5,3,1,37,30,18.5,34,108.82,0,0,0,1,2
SP Narine,12,9,1,143,47,17.87,86,166.27,0,0,0,17,9
PP Chawla,13,5,2,42,14*,14,37,113.51,0,0,0,4,2
NS Naik,1,1,0,7,7,7,16,43.75,0,0,0,1,0
Kuldeep Yadav,9,4,2,12,10*,6,8,150,0,0,2,1,0
CR Brathwaite,2,2,0,11,6,5.5,10,110,0,0,0,1,0
JL Denly,1,1,0,0,0,0,1,0,0,0,1,0,0
M Prasidh Krishna,11,1,0,0,0,0,2,0,0,0,1,0,0
KC Cariappa,1,1,1,9,9*,-,3,300,0,0,0,0,1
HF Gurney,8,1,1,1,1*,-,5,20,0,0,0,0,0
Y Prithvi Raj,2,1,1,0,0*,-,1,0,0,0,0,0,0
LH Ferguson,5,-,-,-,-,-,-,-,-,-,-,-,-
S Sandeep Warrier,3,-,-,-,-,-,-,-,-,-,-,-,-
