Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
KL Rahul,14,14,3,593,100*,53.9,438,135.38,1,6,0,49,25
SN Khan,8,5,1,180,67,45,143,125.87,0,1,0,19,4
Mandeep Singh,13,12,8,165,33*,41.25,120,137.5,0,0,1,10,4
CH Gayle,13,13,1,490,99*,40.83,319,153.6,0,4,0,45,34
N Pooran,7,6,0,168,48,28,107,157,0,0,0,9,14
DA Miller,10,10,2,213,59*,26.62,164,129.87,0,1,0,19,7
MA Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,1,26,14
SM Curran,9,8,4,95,55*,23.75,55,172.72,0,1,1,13,3
P Simran Singh,1,1,0,16,16,16,17,94.11,0,0,0,1,1
R Ashwin,14,6,1,42,17*,8.4,28,150,0,0,2,3,3
KK Nair,1,1,0,5,5,5,6,83.33,0,0,0,0,0
M Ashwin,10,3,2,3,1*,3,5,60,0,0,0,0,0
GC Viljoen,6,3,1,3,2*,1.5,7,42.85,0,0,1,0,0
Mohammed Shami,14,2,1,1,1*,1,2,50,0,0,1,0,0
Mujeeb Ur Rahman,5,3,2,0,0*,0,4,0,0,0,1,0,0
Harpreet Brar,2,1,1,20,20*,-,12,166.66,0,0,0,2,1
AJ Tye,6,1,1,0,0*,-,2,0,0,0,0,0,0
Arshdeep Singh,3,-,-,-,-,-,-,-,-,-,-,-,-
AS Rajpoot,4,-,-,-,-,-,-,-,-,-,-,-,-
CV Varun,1,-,-,-,-,-,-,-,-,-,-,-,-
