Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
HH Pandya,16,15,6,402,91,44.66,210,191.42,0,1,1,28,29
Q de Kock,16,16,1,529,81,35.26,398,132.91,0,4,1,45,25
KA Pollard,16,14,6,279,83,34.87,178,156.74,0,1,0,14,22
SA Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,0,45,10
RG Sharma,15,15,1,405,67,28.92,315,128.57,0,2,0,52,10
Yuvraj Singh,4,4,0,98,53,24.5,75,130.66,0,1,0,7,6
Ishan Kishan,7,6,0,101,28,16.83,100,101,0,0,0,8,4
KH Pandya,16,15,4,183,42,16.63,150,122,0,0,1,18,5
E Lewis,3,3,0,48,32,16,52,92.3,0,0,0,4,2
SD Lad,1,1,0,15,15,15,13,115.38,0,0,0,1,1
BCJ Cutting,3,3,1,18,13*,9,17,105.88,0,0,0,1,1
RD Chahar,13,4,2,12,10,6,11,109.09,0,0,1,2,0
M Markande,3,2,1,6,6,6,5,120,0,0,0,1,0
MJ McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,1,2,0
AS Joseph,3,2,2,15,15*,-,13,115.38,0,0,0,2,0
Rasikh Salam,1,1,1,5,5*,-,4,125,0,0,0,0,0
BB Sran,2,1,1,3,3*,-,3,100,0,0,0,0,0
JJ Bumrah,16,2,2,0,0*,-,1,0,0,0,0,0,0
JP Behrendorff,5,-,-,-,-,-,-,-,-,-,-,-,-
SL Malinga,12,-,-,-,-,-,-,-,-,-,-,-,-
AS Roy,1,-,-,-,-,-,-,-,-,-,-,-,-
J Yadav,2,-,-,-,-,-,-,-,-,-,-,-,-
